model,dataset,threshold,accuracy,avg_frames,pct_cheap,pct_dense,oracle_accuracy,fixed_cheap_acc,fixed_dense_acc,delta_vs_cheap,delta_vs_dense
r2plus1d_18,driveact,0.1,0.5558035714285714,4.0,1.0,0.0,0.6473214285714286,0.5558035714285714,0.625,0.0,-0.0691964285714286
r2plus1d_18,driveact,0.15,0.5558035714285714,4.0,1.0,0.0,0.6473214285714286,0.5558035714285714,0.625,0.0,-0.0691964285714286
r2plus1d_18,driveact,0.2,0.5558035714285714,4.0,1.0,0.0,0.6473214285714286,0.5558035714285714,0.625,0.0,-0.0691964285714286
r2plus1d_18,driveact,0.25,0.5558035714285714,4.053571428571429,0.9955357142857143,0.004464285714285698,0.6473214285714286,0.5558035714285714,0.625,0.0,-0.0691964285714286
r2plus1d_18,driveact,0.3,0.5558035714285714,4.080357142857143,0.9933035714285714,0.006696428571428603,0.6473214285714286,0.5558035714285714,0.625,0.0,-0.0691964285714286
r2plus1d_18,driveact,0.35,0.5602678571428571,4.241071428571429,0.9799107142857143,0.0200892857142857,0.6473214285714286,0.5558035714285714,0.625,0.004464285714285698,-0.0647321428571429
r2plus1d_18,driveact,0.4,0.5669642857142857,4.589285714285714,0.9508928571428571,0.049107142857142905,0.6473214285714286,0.5558035714285714,0.625,0.011160714285714302,-0.0580357142857143
r2plus1d_18,driveact,0.45,0.5714285714285714,5.044642857142857,0.9129464285714286,0.0870535714285714,0.6473214285714286,0.5558035714285714,0.625,0.015625,-0.0535714285714286
r2plus1d_18,driveact,0.5,0.578125,5.339285714285714,0.8883928571428571,0.1116071428571429,0.6473214285714286,0.5558035714285714,0.625,0.022321428571428603,-0.046875
r2plus1d_18,driveact,0.55,0.5848214285714286,5.821428571428571,0.8482142857142857,0.1517857142857143,0.6473214285714286,0.5558035714285714,0.625,0.029017857142857206,-0.0401785714285714
r2plus1d_18,driveact,0.6,0.5959821428571429,6.383928571428571,0.8013392857142857,0.1986607142857143,0.6473214285714286,0.5558035714285714,0.625,0.04017857142857151,-0.029017857142857095
r2plus1d_18,driveact,0.65,0.5959821428571429,6.839285714285714,0.7633928571428571,0.2366071428571429,0.6473214285714286,0.5558035714285714,0.625,0.04017857142857151,-0.029017857142857095
r2plus1d_18,driveact,0.7,0.5959821428571429,7.294642857142857,0.7254464285714286,0.2745535714285714,0.6473214285714286,0.5558035714285714,0.625,0.04017857142857151,-0.029017857142857095
r2plus1d_18,driveact,0.75,0.59375,7.776785714285714,0.6852678571428571,0.3147321428571429,0.6473214285714286,0.5558035714285714,0.625,0.0379464285714286,-0.03125
r2plus1d_18,driveact,0.8,0.5915178571428571,8.232142857142858,0.6473214285714286,0.3526785714285714,0.6473214285714286,0.5558035714285714,0.625,0.0357142857142857,-0.033482142857142905
r2plus1d_18,driveact,0.85,0.59375,8.741071428571429,0.6049107142857143,0.3950892857142857,0.6473214285714286,0.5558035714285714,0.625,0.0379464285714286,-0.03125
r2plus1d_18,driveact,0.9,0.5959821428571429,9.491071428571429,0.5424107142857143,0.4575892857142857,0.6473214285714286,0.5558035714285714,0.625,0.04017857142857151,-0.029017857142857095
r2plus1d_18,driveact,0.95,0.609375,10.214285714285714,0.48214285714285715,0.5178571428571428,0.6473214285714286,0.5558035714285714,0.625,0.0535714285714286,-0.015625
