model,dataset,threshold,accuracy,avg_frames,pct_cheap,pct_dense,oracle_accuracy,fixed_cheap_acc,fixed_dense_acc,delta_vs_cheap,delta_vs_dense
timesformer,diving48,0.1,0.38627187079407804,4.0,1.0,0.0,0.4616419919246299,0.38627187079407804,0.3822341857335128,0.0,0.004037685060565233
timesformer,diving48,0.15,0.38627187079407804,4.016150740242261,0.9986541049798116,0.0013458950201884479,0.4616419919246299,0.38627187079407804,0.3822341857335128,0.0,0.004037685060565233
timesformer,diving48,0.2,0.38492597577388965,4.048452220726784,0.9959623149394348,0.004037685060565233,0.4616419919246299,0.38627187079407804,0.3822341857335128,-0.0013458950201883924,0.0026917900403768402
timesformer,diving48,0.25,0.38492597577388965,4.193808882907133,0.9838492597577388,0.016150740242261152,0.4616419919246299,0.38627187079407804,0.3822341857335128,-0.0013458950201883924,0.0026917900403768402
timesformer,diving48,0.3,0.3822341857335128,4.403768506056528,0.9663526244952894,0.03364737550471064,0.4616419919246299,0.38627187079407804,0.3822341857335128,-0.004037685060565233,0.0
timesformer,diving48,0.35,0.38896366083445494,4.7913862718707945,0.9340511440107672,0.06594885598923284,0.4616419919246299,0.38627187079407804,0.3822341857335128,0.0026917900403768957,0.006729475100942128
timesformer,diving48,0.4,0.38896366083445494,5.211305518169583,0.8990578734858681,0.10094212651413192,0.4616419919246299,0.38627187079407804,0.3822341857335128,0.0026917900403768957,0.006729475100942128
timesformer,diving48,0.45,0.38627187079407804,5.776581426648721,0.8519515477792732,0.14804845222072682,0.4616419919246299,0.38627187079407804,0.3822341857335128,0.0,0.004037685060565233
timesformer,diving48,0.5,0.38896366083445494,6.325706594885599,0.8061911170928667,0.19380888290713327,0.4616419919246299,0.38627187079407804,0.3822341857335128,0.0026917900403768957,0.006729475100942128
timesformer,diving48,0.55,0.38896366083445494,7.004037685060565,0.7496635262449529,0.2503364737550471,0.4616419919246299,0.38627187079407804,0.3822341857335128,0.0026917900403768957,0.006729475100942128
timesformer,diving48,0.6,0.38492597577388965,7.6016150740242265,0.6998654104979811,0.3001345895020189,0.4616419919246299,0.38627187079407804,0.3822341857335128,-0.0013458950201883924,0.0026917900403768402
timesformer,diving48,0.65,0.38896366083445494,8.199192462987886,0.6500672947510094,0.34993270524899056,0.4616419919246299,0.38627187079407804,0.3822341857335128,0.0026917900403768957,0.006729475100942128
timesformer,diving48,0.7,0.39030955585464333,8.651413189771198,0.6123822341857336,0.38761776581426644,0.4616419919246299,0.38627187079407804,0.3822341857335128,0.004037685060565288,0.00807537012113052
timesformer,diving48,0.75,0.3876177658142665,9.28129205921938,0.5598923283983849,0.4401076716016151,0.4616419919246299,0.38627187079407804,0.3822341857335128,0.0013458950201884479,0.0053835800807536804
timesformer,diving48,0.8,0.38492597577388965,9.959623149394348,0.5033647375504711,0.49663526244952894,0.4616419919246299,0.38627187079407804,0.3822341857335128,-0.0013458950201883924,0.0026917900403768402
timesformer,diving48,0.85,0.3822341857335128,10.831763122476447,0.4306864064602961,0.5693135935397039,0.4616419919246299,0.38627187079407804,0.3822341857335128,-0.004037685060565233,0.0
timesformer,diving48,0.9,0.38627187079407804,11.655450874831763,0.3620457604306864,0.6379542395693136,0.4616419919246299,0.38627187079407804,0.3822341857335128,0.0,0.004037685060565233
timesformer,diving48,0.95,0.38627187079407804,12.689098250336473,0.2759084791386272,0.7240915208613727,0.4616419919246299,0.38627187079407804,0.3822341857335128,0.0,0.004037685060565233
