label_id,sum,count,acc,coverage,stride,model,dataset
68,19,20,0.95,10,4,videomae,ucf101
69,11,20,0.55,10,4,videomae,ucf101
70,18,20,0.9,10,4,videomae,ucf101
71,17,20,0.85,10,4,videomae,ucf101
72,15,20,0.75,10,4,videomae,ucf101
73,19,20,0.95,10,4,videomae,ucf101
74,12,20,0.6,10,4,videomae,ucf101
75,16,20,0.8,10,4,videomae,ucf101
76,16,20,0.8,10,4,videomae,ucf101
77,17,20,0.85,10,4,videomae,ucf101
78,15,20,0.75,10,4,videomae,ucf101
79,14,20,0.7,10,4,videomae,ucf101
80,12,20,0.6,10,4,videomae,ucf101
81,19,20,0.95,10,4,videomae,ucf101
82,13,20,0.65,10,4,videomae,ucf101
83,17,20,0.85,10,4,videomae,ucf101
84,20,20,1.0,10,4,videomae,ucf101
85,9,20,0.45,10,4,videomae,ucf101
86,20,20,1.0,10,4,videomae,ucf101
87,20,20,1.0,10,4,videomae,ucf101
88,12,20,0.6,10,4,videomae,ucf101
89,17,20,0.85,10,4,videomae,ucf101
90,18,20,0.9,10,4,videomae,ucf101
91,8,20,0.4,10,4,videomae,ucf101
92,11,20,0.55,10,4,videomae,ucf101
93,15,20,0.75,10,4,videomae,ucf101
94,20,20,1.0,10,4,videomae,ucf101
95,11,20,0.55,10,4,videomae,ucf101
96,13,20,0.65,10,4,videomae,ucf101
97,12,20,0.6,10,4,videomae,ucf101
98,20,20,1.0,10,4,videomae,ucf101
99,20,20,1.0,10,4,videomae,ucf101
100,16,20,0.8,10,4,videomae,ucf101
0,19,20,0.95,10,8,videomae,ucf101
1,19,20,0.95,10,8,videomae,ucf101
2,14,20,0.7,10,8,videomae,ucf101
3,20,20,1.0,10,8,videomae,ucf101
4,5,20,0.25,10,8,videomae,ucf101
5,15,20,0.75,10,8,videomae,ucf101
6,10,20,0.5,10,8,videomae,ucf101
7,8,20,0.4,10,8,videomae,ucf101
8,20,20,1.0,10,8,videomae,ucf101
9,13,20,0.65,10,8,videomae,ucf101
10,17,20,0.85,10,8,videomae,ucf101
11,19,20,0.95,10,8,videomae,ucf101
12,5,20,0.25,10,8,videomae,ucf101
13,16,20,0.8,10,8,videomae,ucf101
14,2,20,0.1,10,8,videomae,ucf101
15,18,20,0.9,10,8,videomae,ucf101
16,7,20,0.35,10,8,videomae,ucf101
17,14,20,0.7,10,8,videomae,ucf101
18,20,20,1.0,10,8,videomae,ucf101
19,10,20,0.5,10,8,videomae,ucf101
20,12,20,0.6,10,8,videomae,ucf101
21,1,20,0.05,10,8,videomae,ucf101
22,11,20,0.55,10,8,videomae,ucf101
23,6,20,0.3,10,8,videomae,ucf101
24,20,20,1.0,10,8,videomae,ucf101
25,18,20,0.9,10,8,videomae,ucf101
26,15,20,0.75,10,8,videomae,ucf101
27,15,20,0.75,10,8,videomae,ucf101
28,14,20,0.7,10,8,videomae,ucf101
29,5,20,0.25,10,8,videomae,ucf101
30,16,20,0.8,10,8,videomae,ucf101
31,19,20,0.95,10,8,videomae,ucf101
32,15,20,0.75,10,8,videomae,ucf101
33,20,20,1.0,10,8,videomae,ucf101
34,11,20,0.55,10,8,videomae,ucf101
35,8,20,0.4,10,8,videomae,ucf101
36,5,20,0.25,10,8,videomae,ucf101
37,17,20,0.85,10,8,videomae,ucf101
38,15,20,0.75,10,8,videomae,ucf101
39,0,20,0.0,10,8,videomae,ucf101
40,13,20,0.65,10,8,videomae,ucf101
41,19,20,0.95,10,8,videomae,ucf101
42,12,20,0.6,10,8,videomae,ucf101
43,19,20,0.95,10,8,videomae,ucf101
44,8,20,0.4,10,8,videomae,ucf101
45,14,20,0.7,10,8,videomae,ucf101
46,0,20,0.0,10,8,videomae,ucf101
47,18,20,0.9,10,8,videomae,ucf101
48,18,20,0.9,10,8,videomae,ucf101
49,17,20,0.85,10,8,videomae,ucf101
50,8,20,0.4,10,8,videomae,ucf101
51,7,20,0.35,10,8,videomae,ucf101
52,15,20,0.75,10,8,videomae,ucf101
53,13,20,0.65,10,8,videomae,ucf101
54,12,20,0.6,10,8,videomae,ucf101
55,1,20,0.05,10,8,videomae,ucf101
56,12,20,0.6,10,8,videomae,ucf101
57,3,20,0.15,10,8,videomae,ucf101
58,16,20,0.8,10,8,videomae,ucf101
59,18,20,0.9,10,8,videomae,ucf101
60,20,20,1.0,10,8,videomae,ucf101
61,20,20,1.0,10,8,videomae,ucf101
62,20,20,1.0,10,8,videomae,ucf101
63,20,20,1.0,10,8,videomae,ucf101
64,20,20,1.0,10,8,videomae,ucf101
65,20,20,1.0,10,8,videomae,ucf101
66,18,20,0.9,10,8,videomae,ucf101
67,3,20,0.15,10,8,videomae,ucf101
68,17,20,0.85,10,8,videomae,ucf101
69,10,20,0.5,10,8,videomae,ucf101
70,17,20,0.85,10,8,videomae,ucf101
71,11,20,0.55,10,8,videomae,ucf101
72,15,20,0.75,10,8,videomae,ucf101
73,19,20,0.95,10,8,videomae,ucf101
74,11,20,0.55,10,8,videomae,ucf101
75,16,20,0.8,10,8,videomae,ucf101
76,12,20,0.6,10,8,videomae,ucf101
77,17,20,0.85,10,8,videomae,ucf101
78,15,20,0.75,10,8,videomae,ucf101
79,9,20,0.45,10,8,videomae,ucf101
80,13,20,0.65,10,8,videomae,ucf101
81,18,20,0.9,10,8,videomae,ucf101
82,14,20,0.7,10,8,videomae,ucf101
83,16,20,0.8,10,8,videomae,ucf101
84,20,20,1.0,10,8,videomae,ucf101
85,8,20,0.4,10,8,videomae,ucf101
86,18,20,0.9,10,8,videomae,ucf101
87,19,20,0.95,10,8,videomae,ucf101
88,7,20,0.35,10,8,videomae,ucf101
89,15,20,0.75,10,8,videomae,ucf101
90,17,20,0.85,10,8,videomae,ucf101
91,9,20,0.45,10,8,videomae,ucf101
92,4,20,0.2,10,8,videomae,ucf101
93,15,20,0.75,10,8,videomae,ucf101
94,20,20,1.0,10,8,videomae,ucf101
95,13,20,0.65,10,8,videomae,ucf101
96,7,20,0.35,10,8,videomae,ucf101
97,11,20,0.55,10,8,videomae,ucf101
98,20,20,1.0,10,8,videomae,ucf101
99,19,20,0.95,10,8,videomae,ucf101
100,17,20,0.85,10,8,videomae,ucf101
0,16,20,0.8,10,16,videomae,ucf101
1,20,20,1.0,10,16,videomae,ucf101
2,12,20,0.6,10,16,videomae,ucf101
3,18,20,0.9,10,16,videomae,ucf101
4,2,20,0.1,10,16,videomae,ucf101
5,14,20,0.7,10,16,videomae,ucf101
6,9,20,0.45,10,16,videomae,ucf101
7,5,20,0.25,10,16,videomae,ucf101
8,20,20,1.0,10,16,videomae,ucf101
9,12,20,0.6,10,16,videomae,ucf101
10,15,20,0.75,10,16,videomae,ucf101
11,20,20,1.0,10,16,videomae,ucf101
12,3,20,0.15,10,16,videomae,ucf101
13,13,20,0.65,10,16,videomae,ucf101
14,0,20,0.0,10,16,videomae,ucf101
15,18,20,0.9,10,16,videomae,ucf101
16,4,20,0.2,10,16,videomae,ucf101
17,1,20,0.05,10,16,videomae,ucf101
18,20,20,1.0,10,16,videomae,ucf101
19,8,20,0.4,10,16,videomae,ucf101
20,7,20,0.35,10,16,videomae,ucf101
21,0,20,0.0,10,16,videomae,ucf101
22,11,20,0.55,10,16,videomae,ucf101
23,5,20,0.25,10,16,videomae,ucf101
24,19,20,0.95,10,16,videomae,ucf101
25,16,20,0.8,10,16,videomae,ucf101
26,13,20,0.65,10,16,videomae,ucf101
27,7,20,0.35,10,16,videomae,ucf101
28,14,20,0.7,10,16,videomae,ucf101
29,3,20,0.15,10,16,videomae,ucf101
30,11,20,0.55,10,16,videomae,ucf101
31,15,20,0.75,10,16,videomae,ucf101
32,13,20,0.65,10,16,videomae,ucf101
33,18,20,0.9,10,16,videomae,ucf101
34,9,20,0.45,10,16,videomae,ucf101
35,6,20,0.3,10,16,videomae,ucf101
36,0,20,0.0,10,16,videomae,ucf101
37,13,20,0.65,10,16,videomae,ucf101
38,7,20,0.35,10,16,videomae,ucf101
39,0,20,0.0,10,16,videomae,ucf101
40,10,20,0.5,10,16,videomae,ucf101
41,19,20,0.95,10,16,videomae,ucf101
42,5,20,0.25,10,16,videomae,ucf101
43,15,20,0.75,10,16,videomae,ucf101
44,7,20,0.35,10,16,videomae,ucf101
45,4,20,0.2,10,16,videomae,ucf101
46,0,20,0.0,10,16,videomae,ucf101
47,17,20,0.85,10,16,videomae,ucf101
48,12,20,0.6,10,16,videomae,ucf101
49,16,20,0.8,10,16,videomae,ucf101
50,3,20,0.15,10,16,videomae,ucf101
51,2,20,0.1,10,16,videomae,ucf101
52,8,20,0.4,10,16,videomae,ucf101
53,7,20,0.35,10,16,videomae,ucf101
54,9,20,0.45,10,16,videomae,ucf101
55,2,20,0.1,10,16,videomae,ucf101
56,12,20,0.6,10,16,videomae,ucf101
57,0,20,0.0,10,16,videomae,ucf101
58,15,20,0.75,10,16,videomae,ucf101
59,16,20,0.8,10,16,videomae,ucf101
60,20,20,1.0,10,16,videomae,ucf101
61,20,20,1.0,10,16,videomae,ucf101
62,18,20,0.9,10,16,videomae,ucf101
63,20,20,1.0,10,16,videomae,ucf101
64,20,20,1.0,10,16,videomae,ucf101
65,17,20,0.85,10,16,videomae,ucf101
66,18,20,0.9,10,16,videomae,ucf101
67,1,20,0.05,10,16,videomae,ucf101
68,12,20,0.6,10,16,videomae,ucf101
69,6,20,0.3,10,16,videomae,ucf101
70,17,20,0.85,10,16,videomae,ucf101
71,11,20,0.55,10,16,videomae,ucf101
72,8,20,0.4,10,16,videomae,ucf101
73,19,20,0.95,10,16,videomae,ucf101
74,8,20,0.4,10,16,videomae,ucf101
75,16,20,0.8,10,16,videomae,ucf101
76,7,20,0.35,10,16,videomae,ucf101
77,16,20,0.8,10,16,videomae,ucf101
78,13,20,0.65,10,16,videomae,ucf101
79,6,20,0.3,10,16,videomae,ucf101
80,8,20,0.4,10,16,videomae,ucf101
81,17,20,0.85,10,16,videomae,ucf101
82,14,20,0.7,10,16,videomae,ucf101
83,12,20,0.6,10,16,videomae,ucf101
84,20,20,1.0,10,16,videomae,ucf101
85,8,20,0.4,10,16,videomae,ucf101
86,17,20,0.85,10,16,videomae,ucf101
87,18,20,0.9,10,16,videomae,ucf101
88,1,20,0.05,10,16,videomae,ucf101
89,10,20,0.5,10,16,videomae,ucf101
90,15,20,0.75,10,16,videomae,ucf101
91,1,20,0.05,10,16,videomae,ucf101
92,2,20,0.1,10,16,videomae,ucf101
93,11,20,0.55,10,16,videomae,ucf101
94,19,20,0.95,10,16,videomae,ucf101
95,6,20,0.3,10,16,videomae,ucf101
96,4,20,0.2,10,16,videomae,ucf101
97,8,20,0.4,10,16,videomae,ucf101
98,20,20,1.0,10,16,videomae,ucf101
99,19,20,0.95,10,16,videomae,ucf101
100,12,20,0.6,10,16,videomae,ucf101
0,20,20,1.0,25,1,videomae,ucf101
1,20,20,1.0,25,1,videomae,ucf101
2,19,20,0.95,25,1,videomae,ucf101
3,20,20,1.0,25,1,videomae,ucf101
4,12,20,0.6,25,1,videomae,ucf101
5,17,20,0.85,25,1,videomae,ucf101
6,14,20,0.7,25,1,videomae,ucf101
7,9,20,0.45,25,1,videomae,ucf101
8,20,20,1.0,25,1,videomae,ucf101
9,20,20,1.0,25,1,videomae,ucf101
10,20,20,1.0,25,1,videomae,ucf101
11,19,20,0.95,25,1,videomae,ucf101
12,14,20,0.7,25,1,videomae,ucf101
13,20,20,1.0,25,1,videomae,ucf101
14,11,20,0.55,25,1,videomae,ucf101
15,18,20,0.9,25,1,videomae,ucf101
16,12,20,0.6,25,1,videomae,ucf101
17,20,20,1.0,25,1,videomae,ucf101
18,20,20,1.0,25,1,videomae,ucf101
19,13,20,0.65,25,1,videomae,ucf101
20,20,20,1.0,25,1,videomae,ucf101
21,10,20,0.5,25,1,videomae,ucf101
22,12,20,0.6,25,1,videomae,ucf101
23,8,20,0.4,25,1,videomae,ucf101
24,20,20,1.0,25,1,videomae,ucf101
25,19,20,0.95,25,1,videomae,ucf101
26,20,20,1.0,25,1,videomae,ucf101
27,18,20,0.9,25,1,videomae,ucf101
28,17,20,0.85,25,1,videomae,ucf101
29,15,20,0.75,25,1,videomae,ucf101
30,13,20,0.65,25,1,videomae,ucf101
31,19,20,0.95,25,1,videomae,ucf101
32,18,20,0.9,25,1,videomae,ucf101
33,18,20,0.9,25,1,videomae,ucf101
34,14,20,0.7,25,1,videomae,ucf101
35,14,20,0.7,25,1,videomae,ucf101
36,16,20,0.8,25,1,videomae,ucf101
37,17,20,0.85,25,1,videomae,ucf101
38,20,20,1.0,25,1,videomae,ucf101
39,0,20,0.0,25,1,videomae,ucf101
40,19,20,0.95,25,1,videomae,ucf101
41,20,20,1.0,25,1,videomae,ucf101
42,20,20,1.0,25,1,videomae,ucf101
43,20,20,1.0,25,1,videomae,ucf101
44,15,20,0.75,25,1,videomae,ucf101
45,18,20,0.9,25,1,videomae,ucf101
46,15,20,0.75,25,1,videomae,ucf101
47,18,20,0.9,25,1,videomae,ucf101
48,20,20,1.0,25,1,videomae,ucf101
49,18,20,0.9,25,1,videomae,ucf101
50,12,20,0.6,25,1,videomae,ucf101
51,16,20,0.8,25,1,videomae,ucf101
52,19,20,0.95,25,1,videomae,ucf101
53,19,20,0.95,25,1,videomae,ucf101
54,18,20,0.9,25,1,videomae,ucf101
55,16,20,0.8,25,1,videomae,ucf101
56,12,20,0.6,25,1,videomae,ucf101
57,17,20,0.85,25,1,videomae,ucf101
58,20,20,1.0,25,1,videomae,ucf101
59,20,20,1.0,25,1,videomae,ucf101
60,20,20,1.0,25,1,videomae,ucf101
61,20,20,1.0,25,1,videomae,ucf101
62,20,20,1.0,25,1,videomae,ucf101
63,20,20,1.0,25,1,videomae,ucf101
64,20,20,1.0,25,1,videomae,ucf101
65,20,20,1.0,25,1,videomae,ucf101
66,20,20,1.0,25,1,videomae,ucf101
67,8,20,0.4,25,1,videomae,ucf101
68,20,20,1.0,25,1,videomae,ucf101
69,16,20,0.8,25,1,videomae,ucf101
70,18,20,0.9,25,1,videomae,ucf101
71,17,20,0.85,25,1,videomae,ucf101
72,18,20,0.9,25,1,videomae,ucf101
73,20,20,1.0,25,1,videomae,ucf101
74,19,20,0.95,25,1,videomae,ucf101
75,19,20,0.95,25,1,videomae,ucf101
76,20,20,1.0,25,1,videomae,ucf101
