class,acc_25pct,acc_100pct,aliasing_drop
ThrowDiscus,0.2771929824561403,0.9192982456140351,0.6421052631578947
TrampolineJumping,0.2992805755395683,0.8604316546762589,0.5611510791366906
Lunges,0.0625,0.58875,0.52625
JumpingJack,0.31282051282051276,0.8205128205128205,0.5076923076923077
CliffDiving,0.26086956521739124,0.7478260869565218,0.4869565217391305
SoccerJuggling,0.4721739130434782,0.9486956521739132,0.47652173913043494
YoYo,0.41651376146788993,0.8917431192660551,0.47522935779816516
SkateBoarding,0.2292682926829268,0.6926829268292682,0.46341463414634143
Basketball,0.35,0.784375,0.43437500000000007
BodyWeightSquats,0.19047619047619044,0.6095238095238095,0.419047619047619
VolleyballSpiking,0.4769230769230769,0.8884615384615385,0.41153846153846163
Swing,0.3359375,0.74375,0.4078125
StillRings,0.272289156626506,0.6698795180722892,0.3975903614457832
BoxingSpeedBag,0.17181208053691271,0.5677852348993289,0.39597315436241615
FloorGymnastics,0.32134831460674157,0.7168539325842697,0.3955056179775281
PommelHorse,0.2756521739130434,0.6565217391304348,0.38086956521739135
RopeClimbing,0.5009708737864077,0.8757281553398059,0.37475728155339816
IceDancing,0.22341463414634144,0.5951219512195122,0.37170731707317073
PizzaTossing,0.4135593220338983,0.7830508474576272,0.36949152542372893
HorseRace,0.35762711864406777,0.7186440677966102,0.3610169491525424
JugglingBalls,0.47103825136612015,0.8306010928961749,0.35956284153005474
FrisbeeCatch,0.3875,0.7458333333333333,0.35833333333333334
SalsaSpin,0.31494252873563217,0.6724137931034482,0.357471264367816
PullUps,0.43999999999999995,0.7753846153846153,0.3353846153846154
UnevenBars,0.10625,0.4375,0.33125
PoleVault,0.34507042253521125,0.6704225352112676,0.32535211267605635
ParallelBars,0.5494252873563219,0.864367816091954,0.3149425287356321
JavelinThrow,0.362962962962963,0.6777777777777778,0.3148148148148148
TennisSwing,0.13061224489795914,0.44489795918367336,0.3142857142857142
JumpRope,0.4666666666666666,0.7788461538461539,0.31217948717948724
BoxingPunchingBag,0.4248587570621469,0.7254237288135593,0.30056497175141245
HandstandPushups,0.4888888888888888,0.7851851851851852,0.2962962962962964
HulaHoop,0.5754385964912281,0.8315789473684211,0.256140350877193
HighJump,0.0378378378378378,0.2918918918918919,0.2540540540540541
PushUps,0.6857142857142857,0.9238095238095239,0.23809523809523814
Mixing,0.46947368421052627,0.7073684210526315,0.23789473684210527
WalkingWithDog,0.48372093023255813,0.7209302325581396,0.23720930232558146
MilitaryParade,0.6516129032258065,0.8870967741935484,0.23548387096774193
HeadMassage,0.6172413793103448,0.850574712643678,0.23333333333333317
MoppingFloor,0.4886956521739131,0.7182608695652174,0.2295652173913043
GolfSwing,0.750909090909091,0.9745454545454546,0.22363636363636363
HammerThrow,0.32191780821917804,0.536986301369863,0.215068493150685
Kayaking,0.7210526315789474,0.9333333333333333,0.21228070175438596
Skiing,0.32814371257485025,0.540119760479042,0.21197604790419172
BaseballPitch,0.5241379310344827,0.7275862068965517,0.20344827586206904
BalanceBeam,0.40634920634920635,0.6031746031746031,0.1968253968253968
Archery,0.7123809523809523,0.9028571428571428,0.19047619047619047
Fencing,0.7611111111111111,0.95,0.18888888888888888
BrushingTeeth,0.17575757575757572,0.3595959595959596,0.18383838383838386
FieldHockeyPenalty,0.7371428571428572,0.9171428571428573,0.18000000000000005
PlayingTabla,0.7844155844155845,0.9636363636363636,0.17922077922077917
CleanAndJerk,0.798165137614679,0.9743119266055047,0.1761467889908257
PlayingDaf,0.7852534562211982,0.9529953917050691,0.16774193548387084
HorseRiding,0.7139072847682119,0.8754966887417218,0.16158940397350996
TaiChi,0.6023809523809524,0.7619047619047619,0.1595238095238095
TableTennisShot,0.5900000000000001,0.748,0.15799999999999992
PlayingViolin,0.7425531914893617,0.9,0.1574468085106383
HandstandWalking,0.6831460674157304,0.8382022471910112,0.15505617977528086
Biking,0.8294478527607362,0.9705521472392638,0.14110429447852757
BabyCrawling,0.575,0.7125,0.13750000000000007
Nunchucks,0.22981366459627325,0.3664596273291925,0.13664596273291926
ShavingBeard,0.7897435897435898,0.9230769230769231,0.1333333333333333
Drumming,0.8624472573839663,0.9789029535864978,0.11645569620253149
CricketBowling,0.43582089552238806,0.5522388059701493,0.11641791044776123
SkyDiving,0.691566265060241,0.8024096385542169,0.11084337349397588
Skijet,0.7642857142857142,0.8657142857142857,0.10142857142857142
SumoWrestling,0.8033333333333333,0.9016666666666666,0.09833333333333327
BenchPress,0.8157303370786517,0.9123595505617977,0.09662921348314601
PlayingSitar,0.8815384615384616,0.9707692307692308,0.08923076923076922
Knitting,0.8913043478260869,0.9710144927536231,0.07971014492753614
BasketballDunk,0.8606060606060606,0.9393939393939394,0.07878787878787885
Hammering,0.6872727272727273,0.7563636363636363,0.06909090909090909
Rowing,0.8735042735042734,0.9341880341880342,0.0606837606837608
BlowDryHair,0.7313131313131314,0.7858585858585859,0.054545454545454564
Diving,0.9467625899280575,0.9913669064748202,0.04460431654676267
BreastStroke,0.9448275862068967,0.9862068965517242,0.04137931034482756
PlayingFlute,0.9518181818181818,0.990909090909091,0.039090909090909176
BlowingCandles,0.9673469387755101,0.9877551020408163,0.020408163265306145
PlayingGuitar,0.9431279620853081,0.957345971563981,0.01421800947867291
Punch,0.9368421052631579,0.9485380116959063,0.011695906432748426
RockClimbingIndoor,0.9426865671641791,0.9528358208955223,0.010149253731343233
WritingOnBoard,0.9790476190476189,0.9866666666666666,0.007619047619047636
SoccerPenalty,0.9894736842105264,0.9929824561403509,0.0035087719298244613
Bowling,0.959090909090909,0.9613636363636363,0.002272727272727315
PlayingPiano,1.0,1.0,0.0
PlayingCello,0.8091503267973856,0.8013071895424837,-0.007843137254901933
Billiards,0.9801724137931036,0.9706896551724139,-0.009482758620689702
Typing,0.9530201342281879,0.9422818791946309,-0.010738255033556965
CuttingInKitchen,0.9627450980392156,0.9490196078431372,-0.013725490196078383
LongJump,0.47777777777777775,0.4611111111111111,-0.016666666666666663
FrontCrawl,0.9244094488188976,0.9023622047244094,-0.022047244094488216
CricketShot,0.6056338028169014,0.5352112676056338,-0.07042253521126762
ApplyLipstick,0.9787610619469026,0.8920353982300885,-0.08672566371681412
Haircut,0.6548387096774194,0.5645161290322581,-0.0903225806451613
BandMarching,0.6834645669291339,0.5811023622047244,-0.10236220472440949
Surfing,0.9140350877192983,0.8105263157894737,-0.10350877192982466
WallPushups,0.887719298245614,0.775438596491228,-0.11228070175438598
ApplyEyeMakeup,0.9078125,0.7625,-0.14531250000000007
Rafting,0.4041666666666666,0.25625,-0.14791666666666664
PlayingDhol,0.8614334470989761,0.710580204778157,-0.1508532423208191
Shotput,0.688135593220339,0.34576271186440677,-0.34237288135593225
