tau,k_low,k_high,accuracy,avg_frames,fraction_upgraded,model,dataset,delta_acc
0.0,4,8,0.500990099009901,4.0,0.0,slowfast_r50_ucf101_full_e10_a100,ucf101,0.0
0.010101010101010102,4,8,0.500990099009901,4.0,0.0,slowfast_r50_ucf101_full_e10_a100,ucf101,0.0
0.020202020202020204,4,8,0.500990099009901,4.0,0.0,slowfast_r50_ucf101_full_e10_a100,ucf101,0.0
0.030303030303030304,4,8,0.500990099009901,4.0,0.0,slowfast_r50_ucf101_full_e10_a100,ucf101,0.0
0.04040404040404041,4,8,0.500990099009901,4.0,0.0,slowfast_r50_ucf101_full_e10_a100,ucf101,0.0
0.05050505050505051,4,8,0.500990099009901,4.0,0.0,slowfast_r50_ucf101_full_e10_a100,ucf101,0.0
0.06060606060606061,4,8,0.500990099009901,4.001980198019802,0.0004950495049504951,slowfast_r50_ucf101_full_e10_a100,ucf101,0.0
0.07070707070707072,4,8,0.500990099009901,4.011881188118812,0.0029702970297029703,slowfast_r50_ucf101_full_e10_a100,ucf101,0.0
0.08080808080808081,4,8,0.501980198019802,4.025742574257426,0.006435643564356435,slowfast_r50_ucf101_full_e10_a100,ucf101,0.000990099009900991
0.09090909090909091,4,8,0.5069306930693069,4.0574257425742575,0.014356435643564357,slowfast_r50_ucf101_full_e10_a100,ucf101,0.005940594059405946
0.10101010101010102,4,8,0.5099009900990099,4.087128712871287,0.02178217821782178,slowfast_r50_ucf101_full_e10_a100,ucf101,0.008910891089108919
0.11111111111111112,4,8,0.5133663366336634,4.142574257425743,0.03564356435643564,slowfast_r50_ucf101_full_e10_a100,ucf101,0.012376237623762387
0.12121212121212122,4,8,0.5193069306930693,4.2,0.05,slowfast_r50_ucf101_full_e10_a100,ucf101,0.018316831683168333
0.13131313131313133,4,8,0.5242574257425743,4.267326732673268,0.06683168316831684,slowfast_r50_ucf101_full_e10_a100,ucf101,0.023267326732673288
0.14141414141414144,4,8,0.5282178217821782,4.332673267326733,0.08316831683168317,slowfast_r50_ucf101_full_e10_a100,ucf101,0.027227722772277252
0.15151515151515152,4,8,0.5301980198019802,4.392079207920792,0.09801980198019802,slowfast_r50_ucf101_full_e10_a100,ucf101,0.029207920792079234
0.16161616161616163,4,8,0.5366336633663367,4.471287128712872,0.11782178217821782,slowfast_r50_ucf101_full_e10_a100,ucf101,0.035643564356435675
0.17171717171717174,4,8,0.5391089108910891,4.528712871287128,0.13217821782178218,slowfast_r50_ucf101_full_e10_a100,ucf101,0.03811881188118815
0.18181818181818182,4,8,0.5440594059405941,4.594059405940594,0.1485148514851485,slowfast_r50_ucf101_full_e10_a100,ucf101,0.04306930693069311
0.19191919191919193,4,8,0.549009900990099,4.645544554455445,0.1613861386138614,slowfast_r50_ucf101_full_e10_a100,ucf101,0.04801980198019806
0.20202020202020204,4,8,0.555940594059406,4.714851485148515,0.1787128712871287,slowfast_r50_ucf101_full_e10_a100,ucf101,0.054950495049505
0.21212121212121213,4,8,0.55990099009901,4.766336633663366,0.1915841584158416,slowfast_r50_ucf101_full_e10_a100,ucf101,0.05891089108910896
0.22222222222222224,4,8,0.5653465346534653,4.8297029702970296,0.20742574257425742,slowfast_r50_ucf101_full_e10_a100,ucf101,0.0643564356435643
0.23232323232323235,4,8,0.5693069306930693,4.879207920792079,0.2198019801980198,slowfast_r50_ucf101_full_e10_a100,ucf101,0.06831683168316827
0.24242424242424243,4,8,0.5742574257425742,4.926732673267327,0.2316831683168317,slowfast_r50_ucf101_full_e10_a100,ucf101,0.07326732673267322
0.25252525252525254,4,8,0.5782178217821782,4.974257425742574,0.24356435643564356,slowfast_r50_ucf101_full_e10_a100,ucf101,0.07722772277227719
0.26262626262626265,4,8,0.5821782178217821,5.023762376237624,0.25594059405940595,slowfast_r50_ucf101_full_e10_a100,ucf101,0.08118811881188115
0.27272727272727276,4,8,0.5846534653465346,5.071287128712871,0.26782178217821784,slowfast_r50_ucf101_full_e10_a100,ucf101,0.08366336633663363
0.2828282828282829,4,8,0.5876237623762376,5.116831683168317,0.27920792079207923,slowfast_r50_ucf101_full_e10_a100,ucf101,0.0866336633663366
0.29292929292929293,4,8,0.5905940594059406,5.1603960396039605,0.2900990099009901,slowfast_r50_ucf101_full_e10_a100,ucf101,0.08960396039603957
0.30303030303030304,4,8,0.5945544554455445,5.203960396039604,0.300990099009901,slowfast_r50_ucf101_full_e10_a100,ucf101,0.09356435643564354
0.31313131313131315,4,8,0.596039603960396,5.253465346534654,0.31336633663366337,slowfast_r50_ucf101_full_e10_a100,ucf101,0.09504950495049502
0.32323232323232326,4,8,0.6,5.287128712871287,0.3217821782178218,slowfast_r50_ucf101_full_e10_a100,ucf101,0.09900990099009899
0.33333333333333337,4,8,0.6014851485148515,5.320792079207921,0.3301980198019802,slowfast_r50_ucf101_full_e10_a100,ucf101,0.10049504950495047
0.3434343434343435,4,8,0.6049504950495049,5.364356435643565,0.3410891089108911,slowfast_r50_ucf101_full_e10_a100,ucf101,0.10396039603960394
