resolution,coverage,stride,top1,n,model,dataset
48,25,8,0.055625,1600,mc3_18,finegym
48,25,16,0.050625,1600,mc3_18,finegym
48,50,1,0.304375,1600,mc3_18,finegym
48,50,2,0.274375,1600,mc3_18,finegym
48,50,4,0.170625,1600,mc3_18,finegym
48,50,8,0.105625,1600,mc3_18,finegym
48,50,16,0.060625,1600,mc3_18,finegym
48,75,1,0.43,1600,mc3_18,finegym
48,75,2,0.3875,1600,mc3_18,finegym
48,75,4,0.251875,1600,mc3_18,finegym
48,75,8,0.134375,1600,mc3_18,finegym
48,75,16,0.078125,1600,mc3_18,finegym
48,100,1,0.4625,1600,mc3_18,finegym
48,100,2,0.43125,1600,mc3_18,finegym
48,100,4,0.2925,1600,mc3_18,finegym
48,100,8,0.136875,1600,mc3_18,finegym
48,100,16,0.094375,1600,mc3_18,finegym
96,10,1,0.074375,1600,mc3_18,finegym
96,10,2,0.07125,1600,mc3_18,finegym
96,10,4,0.05875,1600,mc3_18,finegym
96,10,8,0.0575,1600,mc3_18,finegym
96,10,16,0.0575,1600,mc3_18,finegym
96,25,1,0.14375,1600,mc3_18,finegym
96,25,2,0.133125,1600,mc3_18,finegym
96,25,4,0.108125,1600,mc3_18,finegym
96,25,8,0.070625,1600,mc3_18,finegym
96,25,16,0.058125,1600,mc3_18,finegym
96,50,1,0.348125,1600,mc3_18,finegym
96,50,2,0.33375,1600,mc3_18,finegym
96,50,4,0.23125,1600,mc3_18,finegym
96,50,8,0.14625,1600,mc3_18,finegym
96,50,16,0.075625,1600,mc3_18,finegym
96,75,1,0.55125,1600,mc3_18,finegym
96,75,2,0.555625,1600,mc3_18,finegym
96,75,4,0.370625,1600,mc3_18,finegym
96,75,8,0.18,1600,mc3_18,finegym
96,75,16,0.109375,1600,mc3_18,finegym
96,100,1,0.623125,1600,mc3_18,finegym
96,100,2,0.594375,1600,mc3_18,finegym
96,100,4,0.413125,1600,mc3_18,finegym
96,100,8,0.17125,1600,mc3_18,finegym
96,100,16,0.113125,1600,mc3_18,finegym
112,10,1,0.080625,1600,mc3_18,finegym
112,10,2,0.070625,1600,mc3_18,finegym
112,10,4,0.058125,1600,mc3_18,finegym
112,10,8,0.05625,1600,mc3_18,finegym
112,10,16,0.05625,1600,mc3_18,finegym
112,25,1,0.160625,1600,mc3_18,finegym
112,25,2,0.13,1600,mc3_18,finegym
112,25,4,0.104375,1600,mc3_18,finegym
112,25,8,0.06625,1600,mc3_18,finegym
112,25,16,0.05625,1600,mc3_18,finegym
112,50,1,0.355,1600,mc3_18,finegym
112,50,2,0.355,1600,mc3_18,finegym
112,50,4,0.235,1600,mc3_18,finegym
112,50,8,0.1425,1600,mc3_18,finegym
112,50,16,0.0775,1600,mc3_18,finegym
112,75,1,0.55875,1600,mc3_18,finegym
112,75,2,0.536875,1600,mc3_18,finegym
112,75,4,0.368125,1600,mc3_18,finegym
112,75,8,0.199375,1600,mc3_18,finegym
112,75,16,0.11,1600,mc3_18,finegym
112,100,1,0.6425,1600,mc3_18,finegym
112,100,2,0.6175,1600,mc3_18,finegym
112,100,4,0.43625,1600,mc3_18,finegym
112,100,8,0.201875,1600,mc3_18,finegym
112,100,16,0.131875,1600,mc3_18,finegym
160,10,1,0.103125,1600,mc3_18,finegym
160,10,2,0.0875,1600,mc3_18,finegym
160,10,4,0.08,1600,mc3_18,finegym
160,10,8,0.078125,1600,mc3_18,finegym
160,10,16,0.076875,1600,mc3_18,finegym
160,25,1,0.211875,1600,mc3_18,finegym
160,25,2,0.19125,1600,mc3_18,finegym
160,25,4,0.1425,1600,mc3_18,finegym
160,25,8,0.095,1600,mc3_18,finegym
160,25,16,0.083125,1600,mc3_18,finegym
160,50,1,0.44,1600,mc3_18,finegym
160,50,2,0.45625,1600,mc3_18,finegym
160,50,4,0.339375,1600,mc3_18,finegym
160,50,8,0.2,1600,mc3_18,finegym
160,50,16,0.10875,1600,mc3_18,finegym
160,75,1,0.65375,1600,mc3_18,finegym
160,75,2,0.634375,1600,mc3_18,finegym
160,75,4,0.459375,1600,mc3_18,finegym
160,75,8,0.2775,1600,mc3_18,finegym
160,75,16,0.150625,1600,mc3_18,finegym
160,100,1,0.7375,1600,mc3_18,finegym
160,100,2,0.708125,1600,mc3_18,finegym
160,100,4,0.531875,1600,mc3_18,finegym
160,100,8,0.293125,1600,mc3_18,finegym
160,100,16,0.161875,1600,mc3_18,finegym
224,10,1,0.0775,1600,mc3_18,finegym
224,10,2,0.0675,1600,mc3_18,finegym
224,10,4,0.06375,1600,mc3_18,finegym
224,10,8,0.063125,1600,mc3_18,finegym
224,10,16,0.063125,1600,mc3_18,finegym
224,25,1,0.156875,1600,mc3_18,finegym
224,25,2,0.130625,1600,mc3_18,finegym
224,25,4,0.095,1600,mc3_18,finegym
224,25,8,0.070625,1600,mc3_18,finegym
224,25,16,0.06375,1600,mc3_18,finegym
224,50,1,0.394375,1600,mc3_18,finegym
224,50,2,0.360625,1600,mc3_18,finegym
224,50,4,0.24625,1600,mc3_18,finegym
224,50,8,0.1275,1600,mc3_18,finegym
224,50,16,0.078125,1600,mc3_18,finegym
224,75,1,0.58875,1600,mc3_18,finegym
224,75,2,0.556875,1600,mc3_18,finegym
224,75,4,0.371875,1600,mc3_18,finegym
224,75,8,0.20125,1600,mc3_18,finegym
224,75,16,0.11125,1600,mc3_18,finegym
224,100,1,0.656875,1600,mc3_18,finegym
224,100,2,0.611875,1600,mc3_18,finegym
224,100,4,0.47125,1600,mc3_18,finegym
224,100,8,0.265,1600,mc3_18,finegym
224,100,16,0.119375,1600,mc3_18,finegym
48,10,1,0.051875,1600,r2plus1d_18,finegym
48,10,2,0.051875,1600,r2plus1d_18,finegym
48,10,4,0.05,1600,r2plus1d_18,finegym
48,10,8,0.049375,1600,r2plus1d_18,finegym
48,10,16,0.04875,1600,r2plus1d_18,finegym
48,25,1,0.100625,1600,r2plus1d_18,finegym
48,25,2,0.093125,1600,r2plus1d_18,finegym
48,25,4,0.07625,1600,r2plus1d_18,finegym
48,25,8,0.06125,1600,r2plus1d_18,finegym
48,25,16,0.05375,1600,r2plus1d_18,finegym
48,50,1,0.3,1600,r2plus1d_18,finegym
48,50,2,0.29625,1600,r2plus1d_18,finegym
48,50,4,0.16875,1600,r2plus1d_18,finegym
48,50,8,0.0925,1600,r2plus1d_18,finegym
48,50,16,0.0625,1600,r2plus1d_18,finegym
48,75,1,0.52625,1600,r2plus1d_18,finegym
48,75,2,0.4675,1600,r2plus1d_18,finegym
48,75,4,0.299375,1600,r2plus1d_18,finegym
48,75,8,0.130625,1600,r2plus1d_18,finegym
48,75,16,0.074375,1600,r2plus1d_18,finegym
48,100,1,0.61625,1600,r2plus1d_18,finegym
48,100,2,0.525625,1600,r2plus1d_18,finegym
48,100,4,0.339375,1600,r2plus1d_18,finegym
48,100,8,0.14,1600,r2plus1d_18,finegym
48,100,16,0.0875,1600,r2plus1d_18,finegym
96,10,1,0.090625,1600,r2plus1d_18,finegym
96,10,2,0.075625,1600,r2plus1d_18,finegym
96,10,4,0.065625,1600,r2plus1d_18,finegym
96,10,8,0.059375,1600,r2plus1d_18,finegym
96,10,16,0.058125,1600,r2plus1d_18,finegym
96,25,1,0.165,1600,r2plus1d_18,finegym
96,25,2,0.154375,1600,r2plus1d_18,finegym
96,25,4,0.1275,1600,r2plus1d_18,finegym
96,25,8,0.078125,1600,r2plus1d_18,finegym
96,25,16,0.06,1600,r2plus1d_18,finegym
96,50,1,0.373125,1600,r2plus1d_18,finegym
96,50,2,0.373125,1600,r2plus1d_18,finegym
96,50,4,0.249375,1600,r2plus1d_18,finegym
96,50,8,0.143125,1600,r2plus1d_18,finegym
96,50,16,0.079375,1600,r2plus1d_18,finegym
96,75,1,0.621875,1600,r2plus1d_18,finegym
96,75,2,0.559375,1600,r2plus1d_18,finegym
96,75,4,0.36125,1600,r2plus1d_18,finegym
96,75,8,0.20125,1600,r2plus1d_18,finegym
96,75,16,0.105625,1600,r2plus1d_18,finegym
96,100,1,0.730625,1600,r2plus1d_18,finegym
96,100,2,0.6675,1600,r2plus1d_18,finegym
96,100,4,0.468125,1600,r2plus1d_18,finegym
96,100,8,0.215,1600,r2plus1d_18,finegym
96,100,16,0.121875,1600,r2plus1d_18,finegym
112,10,1,0.084375,1600,r2plus1d_18,finegym
112,10,2,0.075,1600,r2plus1d_18,finegym
112,10,4,0.064375,1600,r2plus1d_18,finegym
112,10,8,0.05625,1600,r2plus1d_18,finegym
112,10,16,0.05625,1600,r2plus1d_18,finegym
112,25,1,0.144375,1600,r2plus1d_18,finegym
112,25,2,0.163125,1600,r2plus1d_18,finegym
112,25,4,0.126875,1600,r2plus1d_18,finegym
112,25,8,0.081875,1600,r2plus1d_18,finegym
112,25,16,0.05875,1600,r2plus1d_18,finegym
112,50,1,0.335,1600,r2plus1d_18,finegym
112,50,2,0.3825,1600,r2plus1d_18,finegym
112,50,4,0.270625,1600,r2plus1d_18,finegym
112,50,8,0.150625,1600,r2plus1d_18,finegym
112,50,16,0.0825,1600,r2plus1d_18,finegym
112,75,1,0.625,1600,r2plus1d_18,finegym
112,75,2,0.595,1600,r2plus1d_18,finegym
112,75,4,0.39375,1600,r2plus1d_18,finegym
112,75,8,0.208125,1600,r2plus1d_18,finegym
112,75,16,0.114375,1600,r2plus1d_18,finegym
112,100,1,0.768125,1600,r2plus1d_18,finegym
112,100,2,0.721875,1600,r2plus1d_18,finegym
112,100,4,0.5,1600,r2plus1d_18,finegym
112,100,8,0.243125,1600,r2plus1d_18,finegym
112,100,16,0.125625,1600,r2plus1d_18,finegym
160,10,1,0.07125,1600,r2plus1d_18,finegym
160,10,2,0.055625,1600,r2plus1d_18,finegym
160,10,4,0.049375,1600,r2plus1d_18,finegym
160,10,8,0.0475,1600,r2plus1d_18,finegym
160,10,16,0.0475,1600,r2plus1d_18,finegym
160,25,1,0.13,1600,r2plus1d_18,finegym
160,25,2,0.135625,1600,r2plus1d_18,finegym
160,25,4,0.09,1600,r2plus1d_18,finegym
160,25,8,0.059375,1600,r2plus1d_18,finegym
160,25,16,0.04875,1600,r2plus1d_18,finegym
160,50,1,0.33875,1600,r2plus1d_18,finegym
160,50,2,0.366875,1600,r2plus1d_18,finegym
160,50,4,0.240625,1600,r2plus1d_18,finegym
160,50,8,0.105,1600,r2plus1d_18,finegym
160,50,16,0.058125,1600,r2plus1d_18,finegym
160,75,1,0.63375,1600,r2plus1d_18,finegym
160,75,2,0.595,1600,r2plus1d_18,finegym
160,75,4,0.380625,1600,r2plus1d_18,finegym
160,75,8,0.16125,1600,r2plus1d_18,finegym
160,75,16,0.075625,1600,r2plus1d_18,finegym
160,100,1,0.794375,1600,r2plus1d_18,finegym
160,100,2,0.736875,1600,r2plus1d_18,finegym
160,100,4,0.50375,1600,r2plus1d_18,finegym
160,100,8,0.194375,1600,r2plus1d_18,finegym
160,100,16,0.09125,1600,r2plus1d_18,finegym
224,10,1,0.085625,1600,r2plus1d_18,finegym
224,10,2,0.073125,1600,r2plus1d_18,finegym
224,10,4,0.06,1600,r2plus1d_18,finegym
224,10,8,0.054375,1600,r2plus1d_18,finegym
224,10,16,0.0525,1600,r2plus1d_18,finegym
224,25,1,0.16125,1600,r2plus1d_18,finegym
224,25,2,0.135,1600,r2plus1d_18,finegym
224,25,4,0.11625,1600,r2plus1d_18,finegym
224,25,8,0.071875,1600,r2plus1d_18,finegym
224,25,16,0.05625,1600,r2plus1d_18,finegym
224,50,1,0.358125,1600,r2plus1d_18,finegym
224,50,2,0.3625,1600,r2plus1d_18,finegym
224,50,4,0.234375,1600,r2plus1d_18,finegym
224,50,8,0.126875,1600,r2plus1d_18,finegym
224,50,16,0.07625,1600,r2plus1d_18,finegym
224,75,1,0.614375,1600,r2plus1d_18,finegym
224,75,2,0.575,1600,r2plus1d_18,finegym
224,75,4,0.353125,1600,r2plus1d_18,finegym
224,75,8,0.1525,1600,r2plus1d_18,finegym
224,75,16,0.10375,1600,r2plus1d_18,finegym
224,100,1,0.761875,1600,r2plus1d_18,finegym
224,100,2,0.70375,1600,r2plus1d_18,finegym
224,100,4,0.484375,1600,r2plus1d_18,finegym
224,100,8,0.175,1600,r2plus1d_18,finegym
224,100,16,0.11375,1600,r2plus1d_18,finegym
48,10,1,0.0375,1600,slowfast_r50,finegym
48,10,2,0.031875,1600,slowfast_r50,finegym
48,10,4,0.024375,1600,slowfast_r50,finegym
48,10,8,0.023125,1600,slowfast_r50,finegym
48,10,16,0.023125,1600,slowfast_r50,finegym
48,25,1,0.085,1600,slowfast_r50,finegym
48,25,2,0.066875,1600,slowfast_r50,finegym
48,25,4,0.03375,1600,slowfast_r50,finegym
48,25,8,0.02375,1600,slowfast_r50,finegym
48,25,16,0.02375,1600,slowfast_r50,finegym
48,50,1,0.229375,1600,slowfast_r50,finegym
48,50,2,0.151875,1600,slowfast_r50,finegym
48,50,4,0.08,1600,slowfast_r50,finegym
48,50,8,0.0475,1600,slowfast_r50,finegym
48,50,16,0.029375,1600,slowfast_r50,finegym
48,75,1,0.32125,1600,slowfast_r50,finegym
48,75,2,0.214375,1600,slowfast_r50,finegym
48,75,4,0.10125,1600,slowfast_r50,finegym
48,75,8,0.056875,1600,slowfast_r50,finegym
48,75,16,0.03875,1600,slowfast_r50,finegym
48,100,1,0.361875,1600,slowfast_r50,finegym
48,100,2,0.240625,1600,slowfast_r50,finegym
48,100,4,0.116875,1600,slowfast_r50,finegym
48,100,8,0.063125,1600,slowfast_r50,finegym
48,100,16,0.04375,1600,slowfast_r50,finegym
96,10,1,0.065,1600,slowfast_r50,finegym
96,10,2,0.0625,1600,slowfast_r50,finegym
96,10,4,0.055,1600,slowfast_r50,finegym
96,10,8,0.050625,1600,slowfast_r50,finegym
96,10,16,0.050625,1600,slowfast_r50,finegym
96,25,1,0.145,1600,slowfast_r50,finegym
96,25,2,0.11875,1600,slowfast_r50,finegym
96,25,4,0.078125,1600,slowfast_r50,finegym
96,25,8,0.064375,1600,slowfast_r50,finegym
96,25,16,0.050625,1600,slowfast_r50,finegym
96,50,1,0.4,1600,slowfast_r50,finegym
96,50,2,0.28375,1600,slowfast_r50,finegym
96,50,4,0.135,1600,slowfast_r50,finegym
96,50,8,0.0825,1600,slowfast_r50,finegym
96,50,16,0.065,1600,slowfast_r50,finegym
96,75,1,0.5625,1600,slowfast_r50,finegym
96,75,2,0.41375,1600,slowfast_r50,finegym
96,75,4,0.168125,1600,slowfast_r50,finegym
96,75,8,0.078125,1600,slowfast_r50,finegym
96,75,16,0.0775,1600,slowfast_r50,finegym
96,100,1,0.671875,1600,slowfast_r50,finegym
96,100,2,0.478125,1600,slowfast_r50,finegym
96,100,4,0.185625,1600,slowfast_r50,finegym
96,100,8,0.085,1600,slowfast_r50,finegym
96,100,16,0.079375,1600,slowfast_r50,finegym
112,10,1,0.070625,1600,slowfast_r50,finegym
112,10,2,0.064375,1600,slowfast_r50,finegym
112,10,4,0.0575,1600,slowfast_r50,finegym
112,10,8,0.05,1600,slowfast_r50,finegym
112,10,16,0.04875,1600,slowfast_r50,finegym
112,25,1,0.148125,1600,slowfast_r50,finegym
112,25,2,0.14875,1600,slowfast_r50,finegym
112,25,4,0.095625,1600,slowfast_r50,finegym
112,25,8,0.064375,1600,slowfast_r50,finegym
112,25,16,0.050625,1600,slowfast_r50,finegym
112,50,1,0.440625,1600,slowfast_r50,finegym
112,50,2,0.294375,1600,slowfast_r50,finegym
112,50,4,0.13875,1600,slowfast_r50,finegym
112,50,8,0.078125,1600,slowfast_r50,finegym
112,50,16,0.059375,1600,slowfast_r50,finegym
112,75,1,0.60375,1600,slowfast_r50,finegym
112,75,2,0.408125,1600,slowfast_r50,finegym
112,75,4,0.179375,1600,slowfast_r50,finegym
112,75,8,0.091875,1600,slowfast_r50,finegym
112,75,16,0.064375,1600,slowfast_r50,finegym
112,100,1,0.695625,1600,slowfast_r50,finegym
112,100,2,0.49,1600,slowfast_r50,finegym
112,100,4,0.204375,1600,slowfast_r50,finegym
112,100,8,0.0975,1600,slowfast_r50,finegym
112,100,16,0.08125,1600,slowfast_r50,finegym
160,10,1,0.061875,1600,slowfast_r50,finegym
160,10,2,0.05875,1600,slowfast_r50,finegym
160,10,4,0.061875,1600,slowfast_r50,finegym
160,10,8,0.058125,1600,slowfast_r50,finegym
160,10,16,0.055625,1600,slowfast_r50,finegym
160,25,1,0.15,1600,slowfast_r50,finegym
160,25,2,0.13375,1600,slowfast_r50,finegym
160,25,4,0.09625,1600,slowfast_r50,finegym
160,25,8,0.075,1600,slowfast_r50,finegym
160,25,16,0.063125,1600,slowfast_r50,finegym
160,50,1,0.48875,1600,slowfast_r50,finegym
160,50,2,0.338125,1600,slowfast_r50,finegym
160,50,4,0.156875,1600,slowfast_r50,finegym
160,50,8,0.098125,1600,slowfast_r50,finegym
160,50,16,0.068125,1600,slowfast_r50,finegym
160,75,1,0.655625,1600,slowfast_r50,finegym
160,75,2,0.48375,1600,slowfast_r50,finegym
160,75,4,0.1975,1600,slowfast_r50,finegym
160,75,8,0.1,1600,slowfast_r50,finegym
160,75,16,0.071875,1600,slowfast_r50,finegym
160,100,1,0.7625,1600,slowfast_r50,finegym
160,100,2,0.5675,1600,slowfast_r50,finegym
160,100,4,0.230625,1600,slowfast_r50,finegym
160,100,8,0.09875,1600,slowfast_r50,finegym
160,100,16,0.075,1600,slowfast_r50,finegym
224,10,1,0.076875,1600,slowfast_r50,finegym
224,10,2,0.061875,1600,slowfast_r50,finegym
224,10,4,0.05875,1600,slowfast_r50,finegym
224,10,8,0.054375,1600,slowfast_r50,finegym
224,10,16,0.051875,1600,slowfast_r50,finegym
224,25,1,0.186875,1600,slowfast_r50,finegym
224,25,2,0.158125,1600,slowfast_r50,finegym
224,25,4,0.089375,1600,slowfast_r50,finegym
224,25,8,0.065,1600,slowfast_r50,finegym
224,25,16,0.058125,1600,slowfast_r50,finegym
224,50,1,0.508125,1600,slowfast_r50,finegym
224,50,2,0.325,1600,slowfast_r50,finegym
224,50,4,0.1375,1600,slowfast_r50,finegym
224,50,8,0.0875,1600,slowfast_r50,finegym
224,50,16,0.06125,1600,slowfast_r50,finegym
224,75,1,0.681875,1600,slowfast_r50,finegym
224,75,2,0.460625,1600,slowfast_r50,finegym
224,75,4,0.18625,1600,slowfast_r50,finegym
224,75,8,0.084375,1600,slowfast_r50,finegym
224,75,16,0.065625,1600,slowfast_r50,finegym
224,100,1,0.781875,1600,slowfast_r50,finegym
224,100,2,0.57625,1600,slowfast_r50,finegym
224,100,4,0.23,1600,slowfast_r50,finegym
224,100,8,0.08,1600,slowfast_r50,finegym
224,100,16,0.066875,1600,slowfast_r50,finegym
48,10,1,0.0725,1600,timesformer,finegym
48,10,2,0.073125,1600,timesformer,finegym
48,10,4,0.065,1600,timesformer,finegym
48,10,8,0.058125,1600,timesformer,finegym
48,10,16,0.058125,1600,timesformer,finegym
48,25,1,0.11875,1600,timesformer,finegym
48,25,2,0.113125,1600,timesformer,finegym
48,25,4,0.095625,1600,timesformer,finegym
48,25,8,0.06625,1600,timesformer,finegym
48,25,16,0.06375,1600,timesformer,finegym
48,50,1,0.19875,1600,timesformer,finegym
48,50,2,0.19125,1600,timesformer,finegym
48,50,4,0.176875,1600,timesformer,finegym
48,50,8,0.1325,1600,timesformer,finegym
48,50,16,0.090625,1600,timesformer,finegym
48,75,1,0.241875,1600,timesformer,finegym
48,75,2,0.239375,1600,timesformer,finegym
48,75,4,0.224375,1600,timesformer,finegym
48,75,8,0.17875,1600,timesformer,finegym
48,75,16,0.12125,1600,timesformer,finegym
48,100,1,0.241875,1600,timesformer,finegym
48,100,2,0.246875,1600,timesformer,finegym
48,100,4,0.24625,1600,timesformer,finegym
48,100,8,0.195,1600,timesformer,finegym
48,100,16,0.141875,1600,timesformer,finegym
96,10,1,0.088125,1600,timesformer,finegym
96,10,2,0.0825,1600,timesformer,finegym
96,10,4,0.06875,1600,timesformer,finegym
96,10,8,0.065625,1600,timesformer,finegym
96,10,16,0.065,1600,timesformer,finegym
96,25,1,0.195,1600,timesformer,finegym
96,25,2,0.166875,1600,timesformer,finegym
96,25,4,0.136875,1600,timesformer,finegym
96,25,8,0.09125,1600,timesformer,finegym
96,25,16,0.075,1600,timesformer,finegym
96,50,1,0.40375,1600,timesformer,finegym
