resolution,coverage,stride,top1,n,model,dataset
112,50,1,0.43125,1600,timesformer,finegym
112,50,2,0.39,1600,timesformer,finegym
112,50,4,0.33375,1600,timesformer,finegym
112,50,8,0.226875,1600,timesformer,finegym
112,50,16,0.124375,1600,timesformer,finegym
112,75,1,0.484375,1600,timesformer,finegym
112,75,2,0.49,1600,timesformer,finegym
112,75,4,0.445625,1600,timesformer,finegym
112,75,8,0.3525,1600,timesformer,finegym
112,75,16,0.19375,1600,timesformer,finegym
112,100,1,0.508125,1600,timesformer,finegym
112,100,2,0.505,1600,timesformer,finegym
112,100,4,0.491875,1600,timesformer,finegym
112,100,8,0.41375,1600,timesformer,finegym
112,100,16,0.243125,1600,timesformer,finegym
160,10,1,0.09875,1600,timesformer,finegym
160,10,2,0.085,1600,timesformer,finegym
160,10,4,0.08125,1600,timesformer,finegym
160,10,8,0.07375,1600,timesformer,finegym
160,10,16,0.074375,1600,timesformer,finegym
160,25,1,0.2375,1600,timesformer,finegym
160,25,2,0.19875,1600,timesformer,finegym
160,25,4,0.15625,1600,timesformer,finegym
160,25,8,0.1125,1600,timesformer,finegym
160,25,16,0.08,1600,timesformer,finegym
160,50,1,0.489375,1600,timesformer,finegym
160,50,2,0.46625,1600,timesformer,finegym
160,50,4,0.396875,1600,timesformer,finegym
160,50,8,0.280625,1600,timesformer,finegym
160,50,16,0.1425,1600,timesformer,finegym
160,75,1,0.60875,1600,timesformer,finegym
160,75,2,0.595625,1600,timesformer,finegym
160,75,4,0.544375,1600,timesformer,finegym
160,75,8,0.416875,1600,timesformer,finegym
160,75,16,0.21625,1600,timesformer,finegym
160,100,1,0.621875,1600,timesformer,finegym
160,100,2,0.6225,1600,timesformer,finegym
160,100,4,0.620625,1600,timesformer,finegym
160,100,8,0.49875,1600,timesformer,finegym
160,100,16,0.266875,1600,timesformer,finegym
224,10,1,0.105625,1600,timesformer,finegym
224,10,2,0.10125,1600,timesformer,finegym
224,10,4,0.084375,1600,timesformer,finegym
224,10,8,0.0725,1600,timesformer,finegym
224,10,16,0.07,1600,timesformer,finegym
224,25,1,0.24375,1600,timesformer,finegym
224,25,2,0.21375,1600,timesformer,finegym
224,25,4,0.180625,1600,timesformer,finegym
224,25,8,0.121875,1600,timesformer,finegym
224,25,16,0.086875,1600,timesformer,finegym
224,50,1,0.529375,1600,timesformer,finegym
224,50,2,0.488125,1600,timesformer,finegym
224,50,4,0.42375,1600,timesformer,finegym
224,50,8,0.314375,1600,timesformer,finegym
224,50,16,0.154375,1600,timesformer,finegym
224,75,1,0.619375,1600,timesformer,finegym
224,75,2,0.625,1600,timesformer,finegym
224,75,4,0.583125,1600,timesformer,finegym
224,75,8,0.479375,1600,timesformer,finegym
224,75,16,0.24,1600,timesformer,finegym
224,100,1,0.664375,1600,timesformer,finegym
224,100,2,0.649375,1600,timesformer,finegym
224,100,4,0.655,1600,timesformer,finegym
224,100,8,0.56,1600,timesformer,finegym
224,100,16,0.303125,1600,timesformer,finegym
48,10,1,0.036875,1600,vivit,finegym
48,10,2,0.034375,1600,vivit,finegym
48,10,4,0.030625,1600,vivit,finegym
48,10,8,0.02875,1600,vivit,finegym
48,10,16,0.02875,1600,vivit,finegym
48,25,1,0.084375,1600,vivit,finegym
48,25,2,0.06625,1600,vivit,finegym
48,25,4,0.043125,1600,vivit,finegym
48,25,8,0.030625,1600,vivit,finegym
48,25,16,0.03,1600,vivit,finegym
48,50,1,0.16375,1600,vivit,finegym
48,50,2,0.144375,1600,vivit,finegym
48,50,4,0.11,1600,vivit,finegym
48,50,8,0.070625,1600,vivit,finegym
48,50,16,0.038125,1600,vivit,finegym
48,75,1,0.216875,1600,vivit,finegym
48,75,2,0.181875,1600,vivit,finegym
48,75,4,0.154375,1600,vivit,finegym
48,75,8,0.121875,1600,vivit,finegym
48,75,16,0.053125,1600,vivit,finegym
48,100,1,0.213125,1600,vivit,finegym
48,100,2,0.17875,1600,vivit,finegym
48,100,4,0.15125,1600,vivit,finegym
48,100,8,0.11125,1600,vivit,finegym
48,100,16,0.074375,1600,vivit,finegym
96,10,1,0.05375,1600,vivit,finegym
96,10,2,0.04,1600,vivit,finegym
96,10,4,0.03375,1600,vivit,finegym
96,10,8,0.03375,1600,vivit,finegym
96,10,16,0.03375,1600,vivit,finegym
96,25,1,0.1125,1600,vivit,finegym
96,25,2,0.08875,1600,vivit,finegym
96,25,4,0.064375,1600,vivit,finegym
96,25,8,0.039375,1600,vivit,finegym
96,25,16,0.03375,1600,vivit,finegym
96,50,1,0.25125,1600,vivit,finegym
96,50,2,0.1975,1600,vivit,finegym
96,50,4,0.144375,1600,vivit,finegym
96,50,8,0.08,1600,vivit,finegym
96,50,16,0.048125,1600,vivit,finegym
96,75,1,0.361875,1600,vivit,finegym
96,75,2,0.265625,1600,vivit,finegym
96,75,4,0.195625,1600,vivit,finegym
96,75,8,0.123125,1600,vivit,finegym
96,75,16,0.078125,1600,vivit,finegym
96,100,1,0.39125,1600,vivit,finegym
96,100,2,0.32,1600,vivit,finegym
96,100,4,0.22625,1600,vivit,finegym
96,100,8,0.159375,1600,vivit,finegym
96,100,16,0.08625,1600,vivit,finegym
112,10,1,0.048125,1600,vivit,finegym
112,10,2,0.04125,1600,vivit,finegym
112,10,4,0.03625,1600,vivit,finegym
112,10,8,0.035625,1600,vivit,finegym
112,10,16,0.035625,1600,vivit,finegym
112,25,1,0.113125,1600,vivit,finegym
112,25,2,0.085625,1600,vivit,finegym
112,25,4,0.05625,1600,vivit,finegym
112,25,8,0.04,1600,vivit,finegym
112,25,16,0.036875,1600,vivit,finegym
112,50,1,0.27,1600,vivit,finegym
112,50,2,0.19375,1600,vivit,finegym
112,50,4,0.135625,1600,vivit,finegym
112,50,8,0.0825,1600,vivit,finegym
112,50,16,0.04375,1600,vivit,finegym
112,75,1,0.399375,1600,vivit,finegym
112,75,2,0.28875,1600,vivit,finegym
112,75,4,0.1925,1600,vivit,finegym
112,75,8,0.115625,1600,vivit,finegym
112,75,16,0.074375,1600,vivit,finegym
112,100,1,0.408125,1600,vivit,finegym
112,100,2,0.3175,1600,vivit,finegym
112,100,4,0.219375,1600,vivit,finegym
112,100,8,0.14375,1600,vivit,finegym
112,100,16,0.09625,1600,vivit,finegym
160,10,1,0.06,1600,vivit,finegym
160,10,2,0.05,1600,vivit,finegym
160,10,4,0.04375,1600,vivit,finegym
160,10,8,0.0425,1600,vivit,finegym
160,10,16,0.0425,1600,vivit,finegym
160,25,1,0.14875,1600,vivit,finegym
160,25,2,0.116875,1600,vivit,finegym
160,25,4,0.066875,1600,vivit,finegym
160,25,8,0.048125,1600,vivit,finegym
160,25,16,0.041875,1600,vivit,finegym
160,50,1,0.33875,1600,vivit,finegym
160,50,2,0.24875,1600,vivit,finegym
160,50,4,0.1675,1600,vivit,finegym
160,50,8,0.090625,1600,vivit,finegym
160,50,16,0.0575,1600,vivit,finegym
160,75,1,0.490625,1600,vivit,finegym
160,75,2,0.3925,1600,vivit,finegym
160,75,4,0.231875,1600,vivit,finegym
160,75,8,0.15875,1600,vivit,finegym
160,75,16,0.096875,1600,vivit,finegym
160,100,1,0.495625,1600,vivit,finegym
160,100,2,0.406875,1600,vivit,finegym
160,100,4,0.285625,1600,vivit,finegym
160,100,8,0.1825,1600,vivit,finegym
160,100,16,0.119375,1600,vivit,finegym
224,10,1,0.063125,1600,vivit,finegym
224,10,2,0.055625,1600,vivit,finegym
224,10,4,0.05,1600,vivit,finegym
224,10,8,0.046875,1600,vivit,finegym
224,10,16,0.0475,1600,vivit,finegym
224,25,1,0.16625,1600,vivit,finegym
224,25,2,0.14125,1600,vivit,finegym
224,25,4,0.094375,1600,vivit,finegym
224,25,8,0.05875,1600,vivit,finegym
224,25,16,0.046875,1600,vivit,finegym
224,50,1,0.45375,1600,vivit,finegym
224,50,2,0.35875,1600,vivit,finegym
224,50,4,0.24375,1600,vivit,finegym
224,50,8,0.135625,1600,vivit,finegym
224,50,16,0.076875,1600,vivit,finegym
224,75,1,0.645625,1600,vivit,finegym
224,75,2,0.549375,1600,vivit,finegym
224,75,4,0.36875,1600,vivit,finegym
224,75,8,0.225,1600,vivit,finegym
224,75,16,0.113125,1600,vivit,finegym
224,100,1,0.699375,1600,vivit,finegym
224,100,2,0.628125,1600,vivit,finegym
224,100,4,0.438125,1600,vivit,finegym
224,100,8,0.289375,1600,vivit,finegym
224,100,16,0.146875,1600,vivit,finegym
48,10,1,0.05625,1600,videomae,finegym
48,10,2,0.045625,1600,videomae,finegym
48,10,4,0.041875,1600,videomae,finegym
48,10,8,0.036875,1600,videomae,finegym
48,10,16,0.035625,1600,videomae,finegym
48,25,1,0.074375,1600,videomae,finegym
48,25,2,0.0825,1600,videomae,finegym
48,25,4,0.06125,1600,videomae,finegym
48,25,8,0.0425,1600,videomae,finegym
48,25,16,0.0375,1600,videomae,finegym
48,50,1,0.12625,1600,videomae,finegym
48,50,2,0.12375,1600,videomae,finegym
48,50,4,0.10625,1600,videomae,finegym
48,50,8,0.08375,1600,videomae,finegym
48,50,16,0.05875,1600,videomae,finegym
48,75,1,0.20375,1600,videomae,finegym
48,75,2,0.175,1600,videomae,finegym
48,75,4,0.1275,1600,videomae,finegym
48,75,8,0.09125,1600,videomae,finegym
48,75,16,0.064375,1600,videomae,finegym
48,100,1,0.255,1600,videomae,finegym
48,100,2,0.19875,1600,videomae,finegym
48,100,4,0.148125,1600,videomae,finegym
48,100,8,0.0925,1600,videomae,finegym
48,100,16,0.07875,1600,videomae,finegym
96,10,1,0.06,1600,videomae,finegym
96,10,2,0.063125,1600,videomae,finegym
96,10,4,0.045625,1600,videomae,finegym
96,10,8,0.0375,1600,videomae,finegym
96,10,16,0.036875,1600,videomae,finegym
96,25,1,0.109375,1600,videomae,finegym
96,25,2,0.1175,1600,videomae,finegym
96,25,4,0.08625,1600,videomae,finegym
96,25,8,0.051875,1600,videomae,finegym
96,25,16,0.041875,1600,videomae,finegym
96,50,1,0.2375,1600,videomae,finegym
96,50,2,0.225625,1600,videomae,finegym
96,50,4,0.160625,1600,videomae,finegym
96,50,8,0.09125,1600,videomae,finegym
96,50,16,0.060625,1600,videomae,finegym
96,75,1,0.396875,1600,videomae,finegym
96,75,2,0.336875,1600,videomae,finegym
96,75,4,0.235625,1600,videomae,finegym
96,75,8,0.110625,1600,videomae,finegym
96,75,16,0.069375,1600,videomae,finegym
96,100,1,0.510625,1600,videomae,finegym
96,100,2,0.424375,1600,videomae,finegym
96,100,4,0.263125,1600,videomae,finegym
96,100,8,0.1275,1600,videomae,finegym
96,100,16,0.07625,1600,videomae,finegym
112,10,1,0.05875,1600,videomae,finegym
112,10,2,0.051875,1600,videomae,finegym
112,10,4,0.041875,1600,videomae,finegym
112,10,8,0.03375,1600,videomae,finegym
112,10,16,0.0325,1600,videomae,finegym
112,25,1,0.1075,1600,videomae,finegym
112,25,2,0.108125,1600,videomae,finegym
112,25,4,0.073125,1600,videomae,finegym
112,25,8,0.050625,1600,videomae,finegym
112,25,16,0.038125,1600,videomae,finegym
112,50,1,0.2475,1600,videomae,finegym
112,50,2,0.233125,1600,videomae,finegym
112,50,4,0.155625,1600,videomae,finegym
112,50,8,0.089375,1600,videomae,finegym
112,50,16,0.056875,1600,videomae,finegym
112,75,1,0.44875,1600,videomae,finegym
112,75,2,0.3875,1600,videomae,finegym
112,75,4,0.22875,1600,videomae,finegym
112,75,8,0.119375,1600,videomae,finegym
112,75,16,0.084375,1600,videomae,finegym
112,100,1,0.575,1600,videomae,finegym
112,100,2,0.478125,1600,videomae,finegym
112,100,4,0.30625,1600,videomae,finegym
112,100,8,0.143125,1600,videomae,finegym
112,100,16,0.098125,1600,videomae,finegym
160,10,1,0.06625,1600,videomae,finegym
160,10,2,0.063125,1600,videomae,finegym
160,10,4,0.051875,1600,videomae,finegym
160,10,8,0.03875,1600,videomae,finegym
160,10,16,0.035,1600,videomae,finegym
160,25,1,0.109375,1600,videomae,finegym
160,25,2,0.10375,1600,videomae,finegym
160,25,4,0.0825,1600,videomae,finegym
160,25,8,0.059375,1600,videomae,finegym
160,25,16,0.046875,1600,videomae,finegym
160,50,1,0.27,1600,videomae,finegym
160,50,2,0.27375,1600,videomae,finegym
160,50,4,0.1875,1600,videomae,finegym
160,50,8,0.099375,1600,videomae,finegym
160,50,16,0.071875,1600,videomae,finegym
160,75,1,0.52875,1600,videomae,finegym
160,75,2,0.47625,1600,videomae,finegym
160,75,4,0.309375,1600,videomae,finegym
160,75,8,0.140625,1600,videomae,finegym
160,75,16,0.0825,1600,videomae,finegym
160,100,1,0.6475,1600,videomae,finegym
160,100,2,0.60375,1600,videomae,finegym
160,100,4,0.414375,1600,videomae,finegym
160,100,8,0.175625,1600,videomae,finegym
160,100,16,0.0875,1600,videomae,finegym
224,10,1,0.0525,1600,videomae,finegym
224,10,2,0.04875,1600,videomae,finegym
224,10,4,0.04875,1600,videomae,finegym
224,10,8,0.043125,1600,videomae,finegym
224,10,16,0.04375,1600,videomae,finegym
224,25,1,0.109375,1600,videomae,finegym
224,25,2,0.11375,1600,videomae,finegym
224,25,4,0.080625,1600,videomae,finegym
224,25,8,0.06,1600,videomae,finegym
224,25,16,0.053125,1600,videomae,finegym
224,50,1,0.33875,1600,videomae,finegym
224,50,2,0.35125,1600,videomae,finegym
224,50,4,0.2525,1600,videomae,finegym
224,50,8,0.12,1600,videomae,finegym
224,50,16,0.07125,1600,videomae,finegym
224,75,1,0.63125,1600,videomae,finegym
224,75,2,0.595625,1600,videomae,finegym
224,75,4,0.4225,1600,videomae,finegym
224,75,8,0.184375,1600,videomae,finegym
224,75,16,0.088125,1600,videomae,finegym
224,100,1,0.78,1600,videomae,finegym
224,100,2,0.739375,1600,videomae,finegym
224,100,4,0.566875,1600,videomae,finegym
224,100,8,0.278125,1600,videomae,finegym
224,100,16,0.101875,1600,videomae,finegym
48,10,1,0.0575,1600,videomamba,finegym
48,10,2,0.0575,1600,videomamba,finegym
48,10,4,0.054375,1600,videomamba,finegym
48,10,8,0.049375,1600,videomamba,finegym
48,10,16,0.04875,1600,videomamba,finegym
48,25,1,0.0875,1600,videomamba,finegym
48,25,2,0.08125,1600,videomamba,finegym
48,25,4,0.076875,1600,videomamba,finegym
48,25,8,0.056875,1600,videomamba,finegym
48,25,16,0.049375,1600,videomamba,finegym
48,50,1,0.15,1600,videomamba,finegym
48,50,2,0.164375,1600,videomamba,finegym
48,50,4,0.15375,1600,videomamba,finegym
48,50,8,0.118125,1600,videomamba,finegym
48,50,16,0.0775,1600,videomamba,finegym
48,75,1,0.2475,1600,videomamba,finegym
48,75,2,0.24375,1600,videomamba,finegym
48,75,4,0.22,1600,videomamba,finegym
48,75,8,0.173125,1600,videomamba,finegym
48,75,16,0.120625,1600,videomamba,finegym
48,100,1,0.293125,1600,videomamba,finegym
48,100,2,0.290625,1600,videomamba,finegym
48,100,4,0.2575,1600,videomamba,finegym
48,100,8,0.185625,1600,videomamba,finegym
48,100,16,0.14,1600,videomamba,finegym
96,10,1,0.0825,1600,videomamba,finegym
96,10,2,0.07625,1600,videomamba,finegym
96,10,4,0.061875,1600,videomamba,finegym
96,10,8,0.051875,1600,videomamba,finegym
96,10,16,0.051875,1600,videomamba,finegym
96,25,1,0.15,1600,videomamba,finegym
96,25,2,0.15125,1600,videomamba,finegym
96,25,4,0.134375,1600,videomamba,finegym
96,25,8,0.0875,1600,videomamba,finegym
96,25,16,0.0575,1600,videomamba,finegym
96,50,1,0.323125,1600,videomamba,finegym
96,50,2,0.310625,1600,videomamba,finegym
96,50,4,0.2975,1600,videomamba,finegym
96,50,8,0.215,1600,videomamba,finegym
96,50,16,0.125625,1600,videomamba,finegym
96,75,1,0.4625,1600,videomamba,finegym
96,75,2,0.451875,1600,videomamba,finegym
96,75,4,0.43875,1600,videomamba,finegym
96,75,8,0.3475,1600,videomamba,finegym
96,75,16,0.18875,1600,videomamba,finegym
96,100,1,0.516875,1600,videomamba,finegym
96,100,2,0.515625,1600,videomamba,finegym
96,100,4,0.490625,1600,videomamba,finegym
96,100,8,0.388125,1600,videomamba,finegym
96,100,16,0.218125,1600,videomamba,finegym
112,10,1,0.089375,1600,videomamba,finegym
112,10,2,0.07875,1600,videomamba,finegym
112,10,4,0.069375,1600,videomamba,finegym
112,10,8,0.06625,1600,videomamba,finegym
112,10,16,0.06625,1600,videomamba,finegym
112,25,1,0.154375,1600,videomamba,finegym
112,25,2,0.1625,1600,videomamba,finegym
112,25,4,0.14,1600,videomamba,finegym
112,25,8,0.08875,1600,videomamba,finegym
112,25,16,0.0675,1600,videomamba,finegym
112,50,1,0.378125,1600,videomamba,finegym
112,50,2,0.373125,1600,videomamba,finegym
112,50,4,0.330625,1600,videomamba,finegym
112,50,8,0.2125,1600,videomamba,finegym
112,50,16,0.123125,1600,videomamba,finegym
112,75,1,0.538125,1600,videomamba,finegym
112,75,2,0.53625,1600,videomamba,finegym
112,75,4,0.494375,1600,videomamba,finegym
112,75,8,0.371875,1600,videomamba,finegym
112,75,16,0.201875,1600,videomamba,finegym
112,100,1,0.580625,1600,videomamba,finegym
112,100,2,0.575,1600,videomamba,finegym
112,100,4,0.553125,1600,videomamba,finegym
112,100,8,0.438125,1600,videomamba,finegym
112,100,16,0.245,1600,videomamba,finegym
160,10,1,0.0925,1600,videomamba,finegym
160,10,2,0.084375,1600,videomamba,finegym
160,10,4,0.065625,1600,videomamba,finegym
160,10,8,0.055625,1600,videomamba,finegym
160,10,16,0.055,1600,videomamba,finegym
160,25,1,0.17125,1600,videomamba,finegym
160,25,2,0.1675,1600,videomamba,finegym
160,25,4,0.143125,1600,videomamba,finegym
160,25,8,0.095625,1600,videomamba,finegym
160,25,16,0.06125,1600,videomamba,finegym
160,50,1,0.40875,1600,videomamba,finegym
160,50,2,0.391875,1600,videomamba,finegym
160,50,4,0.351875,1600,videomamba,finegym
160,50,8,0.241875,1600,videomamba,finegym
160,50,16,0.13,1600,videomamba,finegym
160,75,1,0.593125,1600,videomamba,finegym
160,75,2,0.585625,1600,videomamba,finegym
160,75,4,0.5575,1600,videomamba,finegym
160,75,8,0.430625,1600,videomamba,finegym
160,75,16,0.21875,1600,videomamba,finegym
160,100,1,0.65875,1600,videomamba,finegym
160,100,2,0.646875,1600,videomamba,finegym
160,100,4,0.6375,1600,videomamba,finegym
160,100,8,0.535625,1600,videomamba,finegym
160,100,16,0.279375,1600,videomamba,finegym
224,10,1,0.111875,1600,videomamba,finegym
224,10,2,0.0975,1600,videomamba,finegym
224,10,4,0.0825,1600,videomamba,finegym
224,10,8,0.07375,1600,videomamba,finegym
224,10,16,0.07375,1600,videomamba,finegym
224,25,1,0.18625,1600,videomamba,finegym
224,25,2,0.17875,1600,videomamba,finegym
224,25,4,0.16,1600,videomamba,finegym
224,25,8,0.104375,1600,videomamba,finegym
224,25,16,0.076875,1600,videomamba,finegym
224,50,1,0.451875,1600,videomamba,finegym
224,50,2,0.4575,1600,videomamba,finegym
224,50,4,0.415,1600,videomamba,finegym
224,50,8,0.294375,1600,videomamba,finegym
224,50,16,0.13625,1600,videomamba,finegym
224,75,1,0.65,1600,videomamba,finegym
224,75,2,0.6475,1600,videomamba,finegym
224,75,4,0.625,1600,videomamba,finegym
224,75,8,0.48,1600,videomamba,finegym
224,75,16,0.249375,1600,videomamba,finegym
224,100,1,0.7325,1600,videomamba,finegym
224,100,2,0.72,1600,videomamba,finegym
224,100,4,0.708125,1600,videomamba,finegym
224,100,8,0.603125,1600,videomamba,finegym
224,100,16,0.3325,1600,videomamba,finegym
