model,dataset,train_res,acc
vivit,driveact,160,62.26
vivit,driveact,224,77.4742
vivit,epic_kitchens,48,34.1333
vivit,epic_kitchens,96,40.496
vivit,epic_kitchens,112,42.5871
vivit,epic_kitchens,160,45.0134
vivit,epic_kitchens,224,52.9088
vivit,hmdb51,48,40.8266
vivit,hmdb51,96,61.996
vivit,hmdb51,112,66.6331
vivit,hmdb51,160,69.5565
vivit,hmdb51,224,80.1411
vivit,ssv2,48,31.3557
vivit,ssv2,96,30.6978
vivit,ssv2,112,34.5387
vivit,ssv2,160,36.6373
vivit,ssv2,224,50.0928
vivit,ucf101,48,56.0137
vivit,ucf101,96,71.6627
vivit,ucf101,112,75.2313
vivit,ucf101,160,82.0777
vivit,ucf101,224,95.6395
