tau,k_low,k_high,accuracy,avg_frames,fraction_upgraded,model,dataset,delta_acc
0.0,4,8,0.08442734268899954,4.0,0.0,r2plus1d_18_autsl_full_e10_a100,autsl,0.0
0.010101010101010102,4,8,0.08442734268899954,4.0,0.0,r2plus1d_18_autsl_full_e10_a100,autsl,0.0
0.020202020202020204,4,8,0.08442734268899954,4.000905387052965,0.00022634676324128565,r2plus1d_18_autsl_full_e10_a100,autsl,0.0
0.030303030303030304,4,8,0.08488003621548212,4.026256224535989,0.006564056133997284,r2plus1d_18_autsl_full_e10_a100,autsl,0.00045269352648258376
0.04040404040404041,4,8,0.09031235853327298,4.118605703938433,0.02965142598460842,r2plus1d_18_autsl_full_e10_a100,autsl,0.005885015844273436
0.05050505050505051,4,8,0.09823449524671797,4.268899954730648,0.06722498868266184,r2plus1d_18_autsl_full_e10_a100,autsl,0.01380715255771843
0.06060606060606061,4,8,0.11023087369850611,4.451788139429606,0.11294703485740154,r2plus1d_18_autsl_full_e10_a100,autsl,0.025803531009506567
0.07070707070707072,4,8,0.12019013128112269,4.645540968764147,0.16138524219103667,r2plus1d_18_autsl_full_e10_a100,autsl,0.035762788592123146
0.08080808080808081,4,8,0.13128112267994568,4.808510638297872,0.20212765957446807,r2plus1d_18_autsl_full_e10_a100,autsl,0.04685377999094614
0.09090909090909091,4,8,0.14010864644635582,4.995020371208692,0.24875509280217292,r2plus1d_18_autsl_full_e10_a100,autsl,0.055681303757356276
0.10101010101010102,4,8,0.15097329108193752,5.182435491172476,0.29560887279311904,r2plus1d_18_autsl_full_e10_a100,autsl,0.06654594839293798
0.11111111111111112,4,8,0.16183793571751923,5.357175192394749,0.3392937980986872,r2plus1d_18_autsl_full_e10_a100,autsl,0.07741059302851969
0.12121212121212122,4,8,0.17089180624717065,5.528293345405161,0.38207333635129015,r2plus1d_18_autsl_full_e10_a100,autsl,0.08646446355817111
0.13131313131313133,4,8,0.18062471706654595,5.689452240832956,0.42236306020823905,r2plus1d_18_autsl_full_e10_a100,autsl,0.09619737437754641
0.14141414141414144,4,8,0.18809416025350836,5.846084200995926,0.46152105024898143,r2plus1d_18_autsl_full_e10_a100,autsl,0.10366681756450882
0.15151515151515152,4,8,0.19488456315074695,5.961973743775464,0.490493435943866,r2plus1d_18_autsl_full_e10_a100,autsl,0.11045722046174741
0.16161616161616163,4,8,0.20076957899502038,6.084200995925758,0.5210502489814396,r2plus1d_18_autsl_full_e10_a100,autsl,-0.10140334993209596
0.17171717171717174,4,8,0.20937075599818922,6.200995925758262,0.5502489814395655,r2plus1d_18_autsl_full_e10_a100,autsl,-0.09280217292892712
0.18181818181818182,4,8,0.21661385242191036,6.296061566319602,0.5740153915799004,r2plus1d_18_autsl_full_e10_a100,autsl,-0.08555907650520597
0.19191919191919193,4,8,0.22204617473970123,6.392937980986872,0.598234495246718,r2plus1d_18_autsl_full_e10_a100,autsl,-0.0801267541874151
0.20202020202020204,4,8,0.22589406971480308,6.484382073336351,0.6210955183340878,r2plus1d_18_autsl_full_e10_a100,autsl,-0.07627885921231325
0.21212121212121213,4,8,0.23064735174287007,6.559529198732458,0.6398822996831145,r2plus1d_18_autsl_full_e10_a100,autsl,-0.07152557718424626
0.22222222222222224,4,8,0.23426889995473066,6.6392032593933905,0.6598008148483476,r2plus1d_18_autsl_full_e10_a100,autsl,-0.06790402897238568
0.23232323232323235,4,8,0.24015391579900408,6.722498868266184,0.6806247170665459,r2plus1d_18_autsl_full_e10_a100,autsl,-0.062019013128112255
0.24242424242424243,4,8,0.24445450430058852,6.790402897238569,0.6976007243096424,r2plus1d_18_autsl_full_e10_a100,autsl,-0.05771842462652782
0.25252525252525254,4,8,0.24784970574920778,6.85377999094613,0.7134449977365324,r2plus1d_18_autsl_full_e10_a100,autsl,-0.05432322317790855
0.26262626262626265,4,8,0.2494341330918968,6.897238569488456,0.724309642372114,r2plus1d_18_autsl_full_e10_a100,autsl,-0.05273879583521954
0.27272727272727276,4,8,0.25147125396106834,6.959710276143051,0.7399275690357627,r2plus1d_18_autsl_full_e10_a100,autsl,-0.050701674966047994
0.2828282828282829,4,8,0.2539610683567225,7.01222272521503,0.7530556813037573,r2plus1d_18_autsl_full_e10_a100,autsl,-0.04821186057039384
0.29292929292929293,4,8,0.2557718424626528,7.070167496604799,0.7675418741511997,r2plus1d_18_autsl_full_e10_a100,autsl,-0.04640108646446356
0.30303030303030304,4,8,0.25939339067451334,7.1326392032593935,0.7831598008148484,r2plus1d_18_autsl_full_e10_a100,autsl,-0.042779538252603
0.31313131313131315,4,8,0.2612041647804436,7.1697600724309645,0.792440018107741,r2plus1d_18_autsl_full_e10_a100,autsl,-0.04096876414667272
0.32323232323232326,4,8,0.2632412856496152,7.2014486192847444,0.8003621548211861,r2plus1d_18_autsl_full_e10_a100,autsl,-0.03893164327750115
0.33333333333333337,4,8,0.26595744680851063,7.247623358985966,0.8119058397464917,r2plus1d_18_autsl_full_e10_a100,autsl,-0.0362154821186057
0.3434343434343435,4,8,0.2675418741511996,7.296514259846084,0.8241285649615211,r2plus1d_18_autsl_full_e10_a100,autsl,-0.034631054775916714
0.3535353535353536,4,8,0.2688999547306474,7.33272974196469,0.8331824354911724,r2plus1d_18_autsl_full_e10_a100,autsl,-0.03327297419646896
0.36363636363636365,4,8,0.27071072883657765,7.368039837030331,0.8420099592575826,r2plus1d_18_autsl_full_e10_a100,autsl,-0.03146220009053868
0.37373737373737376,4,8,0.27184246265278406,7.393390674513355,0.8483476686283387,r2plus1d_18_autsl_full_e10_a100,autsl,-0.03033046627433228
0.38383838383838387,4,8,0.27320054323223175,7.428700769578995,0.8571751923947487,r2plus1d_18_autsl_full_e10_a100,autsl,-0.028972385694884584
0.393939393939394,4,8,0.2738795835219556,7.443186962426437,0.8607967406066094,r2plus1d_18_autsl_full_e10_a100,autsl,-0.028293345405160708
0.4040404040404041,4,8,0.2754640108646446,7.471253961068356,0.8678134902670892,r2plus1d_18_autsl_full_e10_a100,autsl,-0.02670891806247172
0.4141414141414142,4,8,0.2763693979176098,7.493888637392486,0.8734721593481213,r2plus1d_18_autsl_full_e10_a100,autsl,-0.025803531009506553
0.42424242424242425,4,8,0.2772747849705749,7.513807152557718,0.8784517881394296,r2plus1d_18_autsl_full_e10_a100,autsl,-0.02489814395654144
0.43434343434343436,4,8,0.27840651878678135,7.538252602987777,0.8845631507469444,r2plus1d_18_autsl_full_e10_a100,autsl,-0.02376641014033498
0.4444444444444445,4,8,0.27976459936622905,7.55636034404708,0.8890900860117701,r2plus1d_18_autsl_full_e10_a100,autsl,-0.022408329560887286
0.4545454545454546,4,8,0.27999094612947034,7.573562698053418,0.8933906745133544,r2plus1d_18_autsl_full_e10_a100,autsl,-0.022181982797645994
0.4646464646464647,4,8,0.2804436396559529,7.589859665006791,0.8974649162516976,r2plus1d_18_autsl_full_e10_a100,autsl,-0.02172928927116341
0.4747474747474748,4,8,0.2806699864191942,7.605251244907198,0.9013128112267994,r2plus1d_18_autsl_full_e10_a100,autsl,-0.021502942507922118
0.48484848484848486,4,8,0.28157537347215933,7.624264373019466,0.9060660932548664,r2plus1d_18_autsl_full_e10_a100,autsl,-0.020597555454957006
0.494949494949495,4,8,0.2824807605251245,7.636939791760978,0.9092349479402445,r2plus1d_18_autsl_full_e10_a100,autsl,-0.01969216840199184
0.5050505050505051,4,8,0.2833861475780896,7.645993662290629,0.9114984155726573,r2plus1d_18_autsl_full_e10_a100,autsl,-0.018786781349026727
0.5151515151515152,4,8,0.2840651878678135,7.656858306926211,0.9142145767315527,r2plus1d_18_autsl_full_e10_a100,autsl,-0.01810774105930285
0.5252525252525253,4,8,0.28474422815753736,7.672249886826618,0.9180624717066546,r2plus1d_18_autsl_full_e10_a100,autsl,-0.017428700769578975
0.5353535353535354,4,8,0.28474422815753736,7.688546853779991,0.9221367134449977,r2plus1d_18_autsl_full_e10_a100,autsl,-0.017428700769578975
0.5454545454545455,4,8,0.28564961521050247,7.701222272521503,0.9253055681303758,r2plus1d_18_autsl_full_e10_a100,autsl,-0.016523313716613863
0.5555555555555556,4,8,0.28632865550022635,7.712086917157085,0.9280217292892712,r2plus1d_18_autsl_full_e10_a100,autsl,-0.015844273426889988
0.5656565656565657,4,8,0.2870076957899502,7.721140787686736,0.930285196921684,r2plus1d_18_autsl_full_e10_a100,autsl,-0.015165233137166112
0.5757575757575758,4,8,0.2881394296061566,7.7320054323223175,0.9330013580805795,r2plus1d_18_autsl_full_e10_a100,autsl,-0.014033499320959708
0.5858585858585859,4,8,0.2881394296061566,7.739248528746039,0.9348121321865097,r2plus1d_18_autsl_full_e10_a100,autsl,-0.014033499320959708
0.595959595959596,4,8,0.2892711634223631,7.750113173381621,0.9375282933454051,r2plus1d_18_autsl_full_e10_a100,autsl,-0.012901765504753249
0.6060606060606061,4,8,0.2897238569488456,7.759167043911272,0.939791760977818,r2plus1d_18_autsl_full_e10_a100,autsl,-0.01244907197827072
0.6161616161616162,4,8,0.2906292440018108,7.772747849705749,0.9431869624264373,r2plus1d_18_autsl_full_e10_a100,autsl,-0.011543684925305553
0.6262626262626263,4,8,0.2906292440018108,7.780896333182436,0.9452240832956089,r2plus1d_18_autsl_full_e10_a100,autsl,-0.011543684925305553
0.6363636363636365,4,8,0.29130828429153466,7.791760977818017,0.9479402444545043,r2plus1d_18_autsl_full_e10_a100,autsl,-0.010864644635581677
0.6464646464646465,4,8,0.2917609778180172,7.8008148483476685,0.9502037120869171,r2plus1d_18_autsl_full_e10_a100,autsl,-0.010411951109099149
0.6565656565656566,4,8,0.29221367134449977,7.805341783612494,0.9513354459031236,r2plus1d_18_autsl_full_e10_a100,autsl,-0.009959257582616565
0.6666666666666667,4,8,0.29289271163422365,7.813490267089181,0.9533725667722952,r2plus1d_18_autsl_full_e10_a100,autsl,-0.00928021729289269
0.6767676767676768,4,8,0.29357175192394747,7.824354911724762,0.9560887279311906,r2plus1d_18_autsl_full_e10_a100,autsl,-0.00860117700316887
0.686868686868687,4,8,0.29402444545043005,7.830692621095518,0.9576731552738795,r2plus1d_18_autsl_full_e10_a100,autsl,-0.008148483476686286
0.696969696969697,4,8,0.29402444545043005,7.833408782254414,0.9583521955636034,r2plus1d_18_autsl_full_e10_a100,autsl,-0.008148483476686286
0.7070707070707072,4,8,0.29425079221367134,7.8415572657311,0.960389316432775,r2plus1d_18_autsl_full_e10_a100,autsl,-0.007922136713444994
0.7171717171717172,4,8,0.2949298325033952,7.851516523313717,0.9628791308284291,r2plus1d_18_autsl_full_e10_a100,autsl,-0.007243096423721118
0.7272727272727273,4,8,0.2949298325033952,7.855138071525577,0.9637845178813943,r2plus1d_18_autsl_full_e10_a100,autsl,-0.007243096423721118
0.7373737373737375,4,8,0.29583521955636033,7.863286555002263,0.9658216387505658,r2plus1d_18_autsl_full_e10_a100,autsl,-0.006337709370756006
0.7474747474747475,4,8,0.2960615663196016,7.870529651425985,0.9676324128564961,r2plus1d_18_autsl_full_e10_a100,autsl,-0.006111362607514714
0.7575757575757577,4,8,0.2960615663196016,7.87505658669081,0.9687641466727026,r2plus1d_18_autsl_full_e10_a100,autsl,-0.006111362607514714
0.7676767676767677,4,8,0.2967406066093255,7.881394296061567,0.9703485740153915,r2plus1d_18_autsl_full_e10_a100,autsl,-0.005432322317790839
0.7777777777777778,4,8,0.2971933001358081,7.887732005432322,0.9719330013580806,r2plus1d_18_autsl_full_e10_a100,autsl,-0.004979628791308255
0.787878787878788,4,8,0.2976459936622906,7.897691263014939,0.9744228157537347,r2plus1d_18_autsl_full_e10_a100,autsl,-0.004526935264825727
0.797979797979798,4,8,0.2978723404255319,7.902218198279765,0.9755545495699411,r2plus1d_18_autsl_full_e10_a100,autsl,-0.004300588501584435
0.8080808080808082,4,8,0.2978723404255319,7.90493435943866,0.976233589859665,r2plus1d_18_autsl_full_e10_a100,autsl,-0.004300588501584435
0.8181818181818182,4,8,0.2978723404255319,7.909461294703486,0.9773653236758715,r2plus1d_18_autsl_full_e10_a100,autsl,-0.004300588501584435
0.8282828282828284,4,8,0.2978723404255319,7.915799004074242,0.9789497510185604,r2plus1d_18_autsl_full_e10_a100,autsl,-0.004300588501584435
0.8383838383838385,4,8,0.2980986871887732,7.9230421004979625,0.9807605251244907,r2plus1d_18_autsl_full_e10_a100,autsl,-0.004074241738343143
0.8484848484848485,4,8,0.2983250339520145,7.926663648709823,0.9816659121774559,r2plus1d_18_autsl_full_e10_a100,autsl,-0.003847894975101851
0.8585858585858587,4,8,0.2983250339520145,7.931190583974649,0.9827976459936623,r2plus1d_18_autsl_full_e10_a100,autsl,-0.003847894975101851
0.8686868686868687,4,8,0.2983250339520145,7.9339067451335445,0.9834766862833861,r2plus1d_18_autsl_full_e10_a100,autsl,-0.003847894975101851
0.8787878787878789,4,8,0.29900407424173836,7.93843368039837,0.9846084200995926,r2plus1d_18_autsl_full_e10_a100,autsl,-0.0031688546853779753
0.888888888888889,4,8,0.2994567677682209,7.942960615663196,0.9857401539157991,r2plus1d_18_autsl_full_e10_a100,autsl,-0.002716161158895447
0.8989898989898991,4,8,0.2996831145314622,7.947487550928022,0.9868718877320054,r2plus1d_18_autsl_full_e10_a100,autsl,-0.002489814395654155
0.9090909090909092,4,8,0.2996831145314622,7.949298325033952,0.987324581258488,r2plus1d_18_autsl_full_e10_a100,autsl,-0.002489814395654155
0.9191919191919192,4,8,0.30013580805794476,7.957446808510638,0.9893617021276596,r2plus1d_18_autsl_full_e10_a100,autsl,-0.0020371208691715714
0.9292929292929294,4,8,0.30058850158442735,7.9601629696695335,0.9900407424173834,r2plus1d_18_autsl_full_e10_a100,autsl,-0.0015844273426889877
0.9393939393939394,4,8,0.30058850158442735,7.961973743775464,0.990493435943866,r2plus1d_18_autsl_full_e10_a100,autsl,-0.0015844273426889877
0.9494949494949496,4,8,0.30058850158442735,7.9655952919873245,0.9913988229968311,r2plus1d_18_autsl_full_e10_a100,autsl,-0.0015844273426889877
0.9595959595959597,4,8,0.30081484834766864,7.9710276143051155,0.9927569035762789,r2plus1d_18_autsl_full_e10_a100,autsl,-0.0013580805794476958
0.9696969696969697,4,8,0.3012675418741512,7.978270710728837,0.9945676776822091,r2plus1d_18_autsl_full_e10_a100,autsl,-0.000905387052965112
0.9797979797979799,4,8,0.30194658216387504,7.988229968311453,0.9970574920778633,r2plus1d_18_autsl_full_e10_a100,autsl,-0.00022634676324129188
0.98989898989899,4,8,0.30217292892711634,7.996378451788139,0.9990946129470348,r2plus1d_18_autsl_full_e10_a100,autsl,0.0
1.0,4,8,0.30217292892711634,8.0,1.0,r2plus1d_18_autsl_full_e10_a100,autsl,0.0
0.0,4,16,0.08442734268899954,4.0,0.0,r2plus1d_18_autsl_full_e10_a100,autsl,0.0
0.010101010101010102,4,16,0.08442734268899954,4.0,0.0,r2plus1d_18_autsl_full_e10_a100,autsl,0.0
